2026-05-07 20:35:27 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [experimentCompareWS:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-07 20:35:27 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [experimentCompareWS:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 20:35:27 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [experimentCompareWS:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-07 20:35:27 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [experimentCompareWS:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-07 20:35:27 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [experimentCompareWS:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-07 20:35:27 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 20:35:29 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [experimentCompareWS:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-07 20:44:39 | Controller | INFO | controller.py:1299 | [experimentCompareWS:Controller] Pipeline 1 completed shard 1 (1 batches, 548.98s)
2026-05-07 20:44:39 | Controller | INFO | controller.py:1422 | [experimentCompareWS:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 2 (1 batches)
2026-05-07 20:44:39 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [experimentCompareWS:QueryProcessingActor-0] Reusing existing inference engine (config hash: f13451ca)
2026-05-07 20:44:39 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [experimentCompareWS:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-07 20:44:39 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [experimentCompareWS:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 20:44:39 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [experimentCompareWS:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-07 20:44:39 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [experimentCompareWS:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-07 20:44:39 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [experimentCompareWS:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-07 20:44:39 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 20:44:41 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [experimentCompareWS:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-07 20:53:38 | Controller | INFO | controller.py:1299 | [experimentCompareWS:Controller] Pipeline 1 completed shard 2 (1 batches, 536.74s)
2026-05-07 20:53:38 | Controller | INFO | controller.py:1422 | [experimentCompareWS:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 3 (1 batches)
2026-05-07 20:53:38 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [experimentCompareWS:QueryProcessingActor-0] Reusing existing inference engine (config hash: f13451ca)
2026-05-07 20:53:38 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [experimentCompareWS:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-07 20:53:38 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [experimentCompareWS:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 20:53:38 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [experimentCompareWS:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-07 20:53:38 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [experimentCompareWS:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-07 20:53:38 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [experimentCompareWS:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-07 20:53:38 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 20:53:40 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [experimentCompareWS:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-07 21:02:56 | Controller | INFO | controller.py:1192 | [experimentCompareWS:Controller] Pipeline 1 completed all 4 shards
2026-05-07 21:02:56 | Controller | INFO | controller.py:1299 | [experimentCompareWS:Controller] Pipeline 1 completed shard 3 (1 batches, 555.78s)
2026-05-07 21:02:56 | Controller | INFO | controller.py:1386 | [experimentCompareWS:Controller] All pipelines completed all shards!
2026-05-07 21:02:56 | Controller | INFO | controller.py:695 | [experimentCompareWS:Controller] Computing final metrics for all pipelines...
2026-05-07 21:02:57 | Experiment | INFO | metric_rfmetric_manager.py:190 | [experimentCompareWS:Experiment] Ending run: 85b60f84615344878fa75f91efc2d4f1, 1 in rf_mlflow
2026-05-07 21:02:57 | Experiment | WARNING | metric_mlflow_manager.py:101 | [experimentCompareWS:Experiment] Run 85b60f84615344878fa75f91efc2d4f1 is not the active run, no local context to clear
2026-05-07 21:02:57 | Controller | INFO | controller.py:853 | [experimentCompareWS:Controller] Pipeline 1 (Pipeline 1) completed successfully
2026-05-07 21:02:57 | ExperimentUtils | INFO | experiment_utils.py:180 | [experimentCompareWS:ExperimentUtils] Reset experiment states - marked ongoing pipelines, contexts, and tasks as failed
2026-05-07 21:02:57 | ExperimentUtils | INFO | experiment_utils.py:188 | [experimentCompareWS:ExperimentUtils] Experiment marked as cancelled. Ongoing pipelines, contexts, and tasks have been marked as failed.
2026-05-07 21:02:57 | ExperimentUtils | INFO | experiment_utils.py:154 | [experimentCompareWS:ExperimentUtils] Experiment experimentCompareWS ended
2026-05-07 21:02:59 | Experiment | INFO | experiment.py:574 | [experimentCompareWS:Experiment] All actors shut down
2026-05-07 21:02:59 | Experiment | INFO | experiment.py:575 | [experimentCompareWS:Experiment] Dispatcher will automatically shut down (daemon thread)
