2026-05-02 09:25:48 | DocProcessingActor | INFO | doc_actor.py:59 | [experiment_exploration_chunk_grid_3:DocProcessingActor] DocProcessingActor initialized
2026-05-02 09:25:48 | DocProcessingActor | INFO | doc_actor.py:59 | [experiment_exploration_chunk_grid_3:DocProcessingActor] DocProcessingActor initialized
2026-05-02 09:25:48 | DocProcessingActor | INFO | doc_actor.py:59 | [experiment_exploration_chunk_grid_3:DocProcessingActor] DocProcessingActor initialized
2026-05-02 09:25:49 | DocProcessingActor | INFO | doc_actor.py:59 | [experiment_exploration_chunk_grid_3:DocProcessingActor] DocProcessingActor initialized
2026-05-02 09:25:50 | DocProcessingActor | INFO | doc_actor.py:96 | [experiment_exploration_chunk_grid_3:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-02 09:25:50 | DocProcessingActor | INFO | doc_actor.py:107 | [experiment_exploration_chunk_grid_3:DocProcessingActor] Building document index...
2026-05-02 09:25:51 | DocProcessingActor | INFO | doc_actor.py:96 | [experiment_exploration_chunk_grid_3:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-02 09:25:51 | DocProcessingActor | INFO | doc_actor.py:107 | [experiment_exploration_chunk_grid_3:DocProcessingActor] Building document index...
2026-05-02 09:25:51 | DocProcessingActor | INFO | doc_actor.py:96 | [experiment_exploration_chunk_grid_3:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-02 09:25:51 | DocProcessingActor | INFO | doc_actor.py:107 | [experiment_exploration_chunk_grid_3:DocProcessingActor] Building document index...
2026-05-02 09:25:51 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-02 09:25:51 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-02 09:25:51 | DocProcessingActor | INFO | doc_actor.py:96 | [experiment_exploration_chunk_grid_3:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-02 09:25:51 | DocProcessingActor | INFO | doc_actor.py:107 | [experiment_exploration_chunk_grid_3:DocProcessingActor] Building document index...
2026-05-02 09:25:51 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-02 09:25:52 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-02 09:26:03 | DocProcessingActor | INFO | doc_actor.py:109 | [experiment_exploration_chunk_grid_3:DocProcessingActor] Document index built successfully
2026-05-02 09:26:03 | DocProcessingActor | INFO | doc_actor.py:134 | [experiment_exploration_chunk_grid_3:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-02 09:26:03 | DocProcessingActor | INFO | doc_actor.py:144 | [experiment_exploration_chunk_grid_3:DocProcessingActor] FAISS index serialized: 2645644 bytes
2026-05-02 09:26:03 | DocProcessingActor | INFO | doc_actor.py:189 | [experiment_exploration_chunk_grid_3:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-02 09:26:05 | DocProcessingActor | INFO | doc_actor.py:109 | [experiment_exploration_chunk_grid_3:DocProcessingActor] Document index built successfully
2026-05-02 09:26:05 | DocProcessingActor | INFO | doc_actor.py:134 | [experiment_exploration_chunk_grid_3:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-02 09:26:05 | DocProcessingActor | INFO | doc_actor.py:144 | [experiment_exploration_chunk_grid_3:DocProcessingActor] FAISS index serialized: 5753640 bytes
2026-05-02 09:26:05 | DocProcessingActor | INFO | doc_actor.py:189 | [experiment_exploration_chunk_grid_3:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-02 09:26:06 | DocProcessingActor | INFO | doc_actor.py:109 | [experiment_exploration_chunk_grid_3:DocProcessingActor] Document index built successfully
2026-05-02 09:26:06 | DocProcessingActor | INFO | doc_actor.py:134 | [experiment_exploration_chunk_grid_3:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-02 09:26:06 | DocProcessingActor | INFO | doc_actor.py:144 | [experiment_exploration_chunk_grid_3:DocProcessingActor] FAISS index serialized: 5672964 bytes
2026-05-02 09:26:06 | DocProcessingActor | INFO | doc_actor.py:189 | [experiment_exploration_chunk_grid_3:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-02 09:26:06 | DocProcessingActor | INFO | doc_actor.py:109 | [experiment_exploration_chunk_grid_3:DocProcessingActor] Document index built successfully
2026-05-02 09:26:06 | DocProcessingActor | INFO | doc_actor.py:134 | [experiment_exploration_chunk_grid_3:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-02 09:26:06 | DocProcessingActor | INFO | doc_actor.py:144 | [experiment_exploration_chunk_grid_3:DocProcessingActor] FAISS index serialized: 6271072 bytes
2026-05-02 09:26:06 | DocProcessingActor | INFO | doc_actor.py:189 | [experiment_exploration_chunk_grid_3:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-02 09:26:26 | DocProcessingActor | INFO | doc_actor.py:59 | [experiment_exploration_chunk_grid_3:DocProcessingActor] DocProcessingActor initialized
2026-05-02 09:26:26 | DocProcessingActor | INFO | doc_actor.py:59 | [experiment_exploration_chunk_grid_3:DocProcessingActor] DocProcessingActor initialized
2026-05-02 09:26:27 | DocProcessingActor | INFO | doc_actor.py:59 | [experiment_exploration_chunk_grid_3:DocProcessingActor] DocProcessingActor initialized
2026-05-02 09:26:27 | DocProcessingActor | INFO | doc_actor.py:59 | [experiment_exploration_chunk_grid_3:DocProcessingActor] DocProcessingActor initialized
2026-05-02 09:26:28 | DocProcessingActor | INFO | doc_actor.py:96 | [experiment_exploration_chunk_grid_3:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-02 09:26:28 | DocProcessingActor | INFO | doc_actor.py:107 | [experiment_exploration_chunk_grid_3:DocProcessingActor] Building document index...
2026-05-02 09:26:28 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-02 09:26:28 | DocProcessingActor | INFO | doc_actor.py:96 | [experiment_exploration_chunk_grid_3:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-02 09:26:28 | DocProcessingActor | INFO | doc_actor.py:107 | [experiment_exploration_chunk_grid_3:DocProcessingActor] Building document index...
2026-05-02 09:26:29 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-02 09:26:29 | DocProcessingActor | INFO | doc_actor.py:96 | [experiment_exploration_chunk_grid_3:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-02 09:26:29 | DocProcessingActor | INFO | doc_actor.py:107 | [experiment_exploration_chunk_grid_3:DocProcessingActor] Building document index...
2026-05-02 09:26:29 | DocProcessingActor | INFO | doc_actor.py:96 | [experiment_exploration_chunk_grid_3:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-02 09:26:29 | DocProcessingActor | INFO | doc_actor.py:107 | [experiment_exploration_chunk_grid_3:DocProcessingActor] Building document index...
2026-05-02 09:26:29 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-02 09:26:30 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-02 09:26:33 | DocProcessingActor | INFO | doc_actor.py:109 | [experiment_exploration_chunk_grid_3:DocProcessingActor] Document index built successfully
2026-05-02 09:26:33 | DocProcessingActor | INFO | doc_actor.py:134 | [experiment_exploration_chunk_grid_3:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-02 09:26:34 | DocProcessingActor | INFO | doc_actor.py:144 | [experiment_exploration_chunk_grid_3:DocProcessingActor] FAISS index serialized: 1251040 bytes
2026-05-02 09:26:34 | DocProcessingActor | INFO | doc_actor.py:189 | [experiment_exploration_chunk_grid_3:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-02 09:26:34 | DocProcessingActor | INFO | doc_actor.py:109 | [experiment_exploration_chunk_grid_3:DocProcessingActor] Document index built successfully
