2026-05-05 20:20:42 | Experiment | INFO | metric_rfmetric_manager.py:55 | [512_single_run:Experiment] Initialized MLflowMetricLogger: rf_mlflow
2026-05-05 20:20:42 | Experiment | INFO | metric_rfmetric_manager.py:119 | [512_single_run:Experiment] Creating MLflow experiment: 512_single_run
2026-05-05 20:20:42 | Experiment | WARNING | experiment.py:212 | [512_single_run:Experiment] Failed to initialize MetricLogger: RESOURCE_ALREADY_EXISTS: Experiment(name=512_single_run) already exists. Error: (sqlite3.IntegrityError) UNIQUE constraint failed: experiments.workspace, experiments.name
[SQL: INSERT INTO experiments (name, workspace, artifact_location, lifecycle_stage, creation_time, last_update_time) VALUES (?, ?, ?, ?, ?, ?)]
[parameters: ('512_single_run', 'default', '', 'active', 1778037642102, 1778037642102)]
(Background on this error at: https://sqlalche.me/e/20/gkpj). MetricLogger logging will be disabled.
2026-05-05 20:20:42 | Experiment | INFO | experiment.py:226 | [512_single_run:Experiment] Using existing dispatcher/api server at 127.0.0.1:8851.
2026-05-05 20:20:43 | Experiment | WARNING | experiment.py:381 | [512_single_run:Experiment] No GPUs available. Be sure to use external APIs for inference.
2026-05-05 20:20:43 | Experiment | INFO | experiment.py:383 | [512_single_run:Experiment] Running multi-config experiment with 4 shard(s), (0.0 GPUs per actor, 8.0 CPUs per actor, 4 actors)
2026-05-05 20:20:43 | Experiment | INFO | experiment.py:392 | [512_single_run:Experiment] Reset states of existing pipelines/contexts/tasks (marked as failed)
2026-05-05 20:20:44 | Controller | INFO | controller.py:895 | [512_single_run:Controller] Dataset sharded into 4 shard(s). Shard sizes: [5, 5, 5, 5]
2026-05-05 20:20:44 | Controller | INFO | controller.py:900 | [512_single_run:Controller] Received 4 pipeline configuration(s)
2026-05-05 20:20:44 | Controller | INFO | controller.py:309 | [512_single_run:Controller] Found 1 unique RAG context(s)
2026-05-05 20:20:44 | Controller | INFO | controller.py:320 | [512_single_run:Controller] Will build new context df0130a5...
2026-05-05 20:20:44 | Controller | INFO | controller.py:346 | [512_single_run:Controller] Building 1 context(s) in parallel...
2026-05-05 20:20:44 | Controller | INFO | controller.py:373 | [512_single_run:Controller] Creating 1 DocProcessingActor(s) for parallel processing
2026-05-05 20:20:45 | matplotlib.font_manager | INFO | font_manager.py:1639 | generated new fontManager
2026-05-05 20:20:46 | Controller | INFO | controller.py:461 | [512_single_run:Controller] Submitted 1 build task(s) in parallel
2026-05-05 20:21:07 | DocProcessingActor | INFO | doc_actor.py:59 | [512_single_run:DocProcessingActor] DocProcessingActor initialized
2026-05-05 20:21:09 | DocProcessingActor | INFO | doc_actor.py:96 | [512_single_run:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-05 20:21:09 | DocProcessingActor | INFO | doc_actor.py:107 | [512_single_run:DocProcessingActor] Building document index...
2026-05-05 20:21:10 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-05 20:21:19 | DocProcessingActor | INFO | doc_actor.py:109 | [512_single_run:DocProcessingActor] Document index built successfully
2026-05-05 20:21:19 | DocProcessingActor | INFO | doc_actor.py:134 | [512_single_run:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-05 20:21:19 | DocProcessingActor | INFO | doc_actor.py:144 | [512_single_run:DocProcessingActor] FAISS index serialized: 619428 bytes
2026-05-05 20:21:19 | DocProcessingActor | INFO | doc_actor.py:189 | [512_single_run:DocProcessingActor] DocProcessingActor: Context components ready for sharing
