2026-05-04 20:30:49 | Experiment | INFO | metric_rfmetric_manager.py:141 | [temp0.2_512:Experiment] Created MLflow run: b1bce24d38c14bd2855988a90446f9f7, 8
2026-05-04 20:30:49 | Controller | INFO | controller.py:931 | [temp0.2_512:Controller] Initialized scheduler with 8 pipelines, 4 actors, 4 shards
2026-05-04 20:30:49 | Controller | INFO | controller.py:1118 | [temp0.2_512:Controller] Created experiment-wide rate limiter actor for 8 OpenAI pipeline(s) with per-model limits (api-mistral-small-3.2-2506: 120 RPM, 1000000 TPM)
2026-05-04 20:30:49 | Controller | INFO | controller.py:1124 | [temp0.2_512:Controller] Starting multi-pipeline inference scheduling...
2026-05-04 20:30:49 | Controller | INFO | controller.py:1422 | [temp0.2_512:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 0 (1 batches)
2026-05-04 20:31:12 | QueryProcessingActor-0 | INFO | query_actor.py:165 | [temp0.2_512:QueryProcessingActor-0] Initializing new inference engine (config hash: 31b3fcb8)
2026-05-04 20:31:12 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [temp0.2_512:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-04 20:31:12 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [temp0.2_512:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-04 20:31:12 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [temp0.2_512:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-04 20:31:12 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [temp0.2_512:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-04 20:31:12 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [temp0.2_512:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-04 20:31:12 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-04 20:31:14 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [temp0.2_512:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-04 20:32:15 | ExperimentUtils | INFO | experiment_utils.py:180 | [temp0.2_512:ExperimentUtils] Reset experiment states - marked ongoing pipelines, contexts, and tasks as failed
2026-05-04 20:32:15 | ExperimentUtils | INFO | experiment_utils.py:188 | [temp0.2_512:ExperimentUtils] Experiment marked as cancelled. Ongoing pipelines, contexts, and tasks have been marked as failed.
2026-05-04 20:32:15 | Experiment | INFO | experiment.py:165 | [temp0.2_512:Experiment] Experiment temp0.2_512 is currently running. Returning the same experiment object.
2026-05-04 20:32:15 | Experiment | INFO | experiment.py:165 | [temp0.2_512:Experiment] Any running tasks have been cancelled.
2026-05-04 20:32:33 | Experiment | INFO | metric_rfmetric_manager.py:55 | [temp0.2_512:Experiment] Initialized MLflowMetricLogger: rf_mlflow
2026-05-04 20:32:33 | Experiment | INFO | metric_rfmetric_manager.py:119 | [temp0.2_512:Experiment] Creating MLflow experiment: temp0.2_512
2026-05-04 20:32:33 | Experiment | WARNING | experiment.py:212 | [temp0.2_512:Experiment] Failed to initialize MetricLogger: RESOURCE_ALREADY_EXISTS: Experiment(name=temp0.2_512) already exists. Error: (sqlite3.IntegrityError) UNIQUE constraint failed: experiments.workspace, experiments.name
[SQL: INSERT INTO experiments (name, workspace, artifact_location, lifecycle_stage, creation_time, last_update_time) VALUES (?, ?, ?, ?, ?, ?)]
[parameters: ('temp0.2_512', 'default', '', 'active', 1777951953414, 1777951953414)]
(Background on this error at: https://sqlalche.me/e/20/gkpj). MetricLogger logging will be disabled.
2026-05-04 20:32:33 | Experiment | INFO | experiment.py:226 | [temp0.2_512:Experiment] Using existing dispatcher/api server at 127.0.0.1:8851.
2026-05-04 20:32:33 | Experiment | WARNING | experiment.py:381 | [temp0.2_512:Experiment] No GPUs available. Be sure to use external APIs for inference.
2026-05-04 20:32:33 | Experiment | INFO | experiment.py:383 | [temp0.2_512:Experiment] Running multi-config experiment with 4 shard(s), (0.0 GPUs per actor, 8.0 CPUs per actor, 4 actors)
2026-05-04 20:32:33 | Experiment | INFO | experiment.py:392 | [temp0.2_512:Experiment] Reset states of existing pipelines/contexts/tasks (marked as failed)
2026-05-04 20:32:34 | Controller | INFO | controller.py:895 | [temp0.2_512:Controller] Dataset sharded into 4 shard(s). Shard sizes: [12, 11, 11, 11]
2026-05-04 20:32:34 | Controller | INFO | controller.py:900 | [temp0.2_512:Controller] Received 4 pipeline configuration(s)
2026-05-04 20:32:34 | Controller | INFO | controller.py:309 | [temp0.2_512:Controller] Found 1 unique RAG context(s)
2026-05-04 20:32:34 | Controller | INFO | controller.py:320 | [temp0.2_512:Controller] Will build new context 7d75fe9a...
2026-05-04 20:32:34 | Controller | INFO | controller.py:346 | [temp0.2_512:Controller] Building 1 context(s) in parallel...
2026-05-04 20:32:34 | Controller | INFO | controller.py:373 | [temp0.2_512:Controller] Creating 1 DocProcessingActor(s) for parallel processing
2026-05-04 20:32:35 | Controller | INFO | controller.py:461 | [temp0.2_512:Controller] Submitted 1 build task(s) in parallel
2026-05-04 20:32:56 | DocProcessingActor | INFO | doc_actor.py:59 | [temp0.2_512:DocProcessingActor] DocProcessingActor initialized
2026-05-04 20:32:58 | DocProcessingActor | INFO | doc_actor.py:96 | [temp0.2_512:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-04 20:32:58 | DocProcessingActor | INFO | doc_actor.py:107 | [temp0.2_512:DocProcessingActor] Building document index...
2026-05-04 20:32:59 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-04 20:33:05 | DocProcessingActor | INFO | doc_actor.py:109 | [temp0.2_512:DocProcessingActor] Document index built successfully
2026-05-04 20:33:05 | DocProcessingActor | INFO | doc_actor.py:134 | [temp0.2_512:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-04 20:33:05 | DocProcessingActor | INFO | doc_actor.py:144 | [temp0.2_512:DocProcessingActor] FAISS index serialized: 598248 bytes
2026-05-04 20:33:05 | DocProcessingActor | INFO | doc_actor.py:189 | [temp0.2_512:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-04 20:33:05 | Controller | INFO | controller.py:482 | [temp0.2_512:Controller] Built context 3 (7d75fe9a...) successfully in 31.21s
2026-05-04 20:33:05 | Controller | INFO | controller.py:523 | [temp0.2_512:Controller] Completed parallel context building for 1 context(s)
2026-05-04 20:33:05 | Controller | INFO | controller.py:920 | [temp0.2_512:Controller] Created 4 query processing actors (generic pool)
2026-05-04 20:33:05 | Controller | INFO | controller.py:931 | [temp0.2_512:Controller] Initialized scheduler with 4 pipelines, 4 actors, 4 shards
2026-05-04 20:33:05 | Controller | INFO | controller.py:1118 | [temp0.2_512:Controller] Created experiment-wide rate limiter actor for 4 OpenAI pipeline(s) with per-model limits (api-mistral-small-3.2-2506: 120 RPM, 1000000 TPM)
2026-05-04 20:33:05 | Controller | INFO | controller.py:1124 | [temp0.2_512:Controller] Starting multi-pipeline inference scheduling...
2026-05-04 20:33:05 | Controller | INFO | controller.py:1422 | [temp0.2_512:Controller] Scheduling pipeline 9 (Pipeline 9) on actor 0 for shard 0 (1 batches)
2026-05-04 20:33:28 | QueryProcessingActor-0 | INFO | query_actor.py:165 | [temp0.2_512:QueryProcessingActor-0] Initializing new inference engine (config hash: 20729a26)
2026-05-04 20:33:28 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [temp0.2_512:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-04 20:33:28 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [temp0.2_512:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-04 20:33:28 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [temp0.2_512:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-04 20:33:28 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [temp0.2_512:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-04 20:33:28 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [temp0.2_512:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-04 20:33:28 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-04 20:33:30 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [temp0.2_512:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-04 20:33:31 | Controller | INFO | controller.py:1422 | [temp0.2_512:Controller] Scheduling pipeline 10 (Pipeline 10) on actor 1 for shard 0 (1 batches)
2026-05-04 20:33:31 | QueryProcessingActor-1 | INFO | query_actor.py:165 | [temp0.2_512:QueryProcessingActor-1] Initializing new inference engine (config hash: 20729a26)
2026-05-04 20:33:31 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [temp0.2_512:QueryProcessingActor-1] Recreated embedding function: OpenAIEmbeddings
2026-05-04 20:33:31 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [temp0.2_512:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-04 20:33:31 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [temp0.2_512:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-05-04 20:33:31 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [temp0.2_512:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-05-04 20:33:31 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [temp0.2_512:QueryProcessingActor-1] Recreated retriever with search_type=similarity
2026-05-04 20:33:31 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-04 20:33:33 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [temp0.2_512:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-05-04 20:33:33 | Controller | INFO | controller.py:1422 | [temp0.2_512:Controller] Scheduling pipeline 11 (Pipeline 11) on actor 2 for shard 0 (1 batches)
