2026-05-05 13:50:07 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [temp0.2_512_17:QueryProcessingActor-0] Reusing existing inference engine (config hash: 93d13131)
2026-05-05 13:50:07 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [temp0.2_512_17:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-05 13:50:07 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [temp0.2_512_17:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-05 13:50:07 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [temp0.2_512_17:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-05 13:50:07 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [temp0.2_512_17:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-05 13:50:07 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [temp0.2_512_17:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-05 13:50:07 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-05 13:50:10 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [temp0.2_512_17:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-05 13:55:48 | Controller | INFO | controller.py:1299 | [temp0.2_512_17:Controller] Pipeline 1 completed shard 1 (1 batches, 337.53s)
2026-05-05 13:55:48 | Controller | INFO | controller.py:1422 | [temp0.2_512_17:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 2 (1 batches)
2026-05-05 13:55:48 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [temp0.2_512_17:QueryProcessingActor-0] Reusing existing inference engine (config hash: 93d13131)
2026-05-05 13:55:48 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [temp0.2_512_17:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-05 13:55:48 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [temp0.2_512_17:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-05 13:55:48 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [temp0.2_512_17:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-05 13:55:48 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [temp0.2_512_17:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-05 13:55:48 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [temp0.2_512_17:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-05 13:55:48 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-05 13:55:50 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [temp0.2_512_17:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-05 14:01:13 | Controller | INFO | controller.py:1299 | [temp0.2_512_17:Controller] Pipeline 1 completed shard 2 (1 batches, 322.22s)
2026-05-05 14:01:13 | Controller | INFO | controller.py:1422 | [temp0.2_512_17:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 3 (1 batches)
2026-05-05 14:01:13 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [temp0.2_512_17:QueryProcessingActor-0] Reusing existing inference engine (config hash: 93d13131)
2026-05-05 14:01:13 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [temp0.2_512_17:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-05 14:01:13 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [temp0.2_512_17:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-05 14:01:13 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [temp0.2_512_17:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-05 14:01:13 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [temp0.2_512_17:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-05 14:01:13 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [temp0.2_512_17:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-05 14:01:13 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-05 14:01:16 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [temp0.2_512_17:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-05 14:06:45 | Controller | INFO | controller.py:1192 | [temp0.2_512_17:Controller] Pipeline 1 completed all 4 shards
2026-05-05 14:06:46 | Controller | INFO | controller.py:1299 | [temp0.2_512_17:Controller] Pipeline 1 completed shard 3 (1 batches, 329.26s)
2026-05-05 14:06:46 | Controller | INFO | controller.py:1386 | [temp0.2_512_17:Controller] All pipelines completed all shards!
2026-05-05 14:06:46 | Controller | INFO | controller.py:695 | [temp0.2_512_17:Controller] Computing final metrics for all pipelines...
2026-05-05 14:06:46 | Experiment | INFO | metric_rfmetric_manager.py:190 | [temp0.2_512_17:Experiment] Ending run: 12404f40724a443294992352eb740307, 1 in rf_mlflow
2026-05-05 14:06:46 | Experiment | WARNING | metric_mlflow_manager.py:101 | [temp0.2_512_17:Experiment] Run 12404f40724a443294992352eb740307 is not the active run, no local context to clear
2026-05-05 14:06:46 | Controller | INFO | controller.py:853 | [temp0.2_512_17:Controller] Pipeline 1 (Pipeline 1) completed successfully
2026-05-05 14:06:46 | ExperimentUtils | INFO | experiment_utils.py:180 | [temp0.2_512_17:ExperimentUtils] Reset experiment states - marked ongoing pipelines, contexts, and tasks as failed
2026-05-05 14:06:46 | ExperimentUtils | INFO | experiment_utils.py:188 | [temp0.2_512_17:ExperimentUtils] Experiment marked as cancelled. Ongoing pipelines, contexts, and tasks have been marked as failed.
2026-05-05 14:06:47 | ExperimentUtils | INFO | experiment_utils.py:154 | [temp0.2_512_17:ExperimentUtils] Experiment temp0.2_512_17 ended
2026-05-05 14:06:49 | Experiment | INFO | experiment.py:574 | [temp0.2_512_17:Experiment] All actors shut down
2026-05-05 14:06:49 | Experiment | INFO | experiment.py:575 | [temp0.2_512_17:Experiment] Dispatcher will automatically shut down (daemon thread)
