2026-05-06 19:58:41 | Experiment | INFO | metric_rfmetric_manager.py:141 | [512_32_temp1:Experiment] Created MLflow run: 73026d01e5e6439c82a8f211ab139d40, 8
2026-05-06 19:58:41 | Controller | INFO | controller.py:931 | [512_32_temp1:Controller] Initialized scheduler with 8 pipelines, 4 actors, 4 shards
2026-05-06 19:58:41 | Controller | INFO | controller.py:1118 | [512_32_temp1:Controller] Created experiment-wide rate limiter actor for 8 OpenAI pipeline(s) with per-model limits (api-mistral-small-3.2-2506: 120 RPM, 1000000 TPM)
2026-05-06 19:58:41 | Controller | INFO | controller.py:1124 | [512_32_temp1:Controller] Starting multi-pipeline inference scheduling...
2026-05-06 19:58:41 | Controller | INFO | controller.py:1422 | [512_32_temp1:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 0 (1 batches)
2026-05-06 19:59:03 | QueryProcessingActor-0 | INFO | query_actor.py:165 | [512_32_temp1:QueryProcessingActor-0] Initializing new inference engine (config hash: 69426b2c)
2026-05-06 19:59:03 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [512_32_temp1:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-06 19:59:03 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [512_32_temp1:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-06 19:59:03 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [512_32_temp1:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-06 19:59:03 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [512_32_temp1:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-06 19:59:03 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [512_32_temp1:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-06 19:59:03 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-06 19:59:05 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [512_32_temp1:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-06 19:59:05 | Controller | INFO | controller.py:1422 | [512_32_temp1:Controller] Scheduling pipeline 2 (Pipeline 2) on actor 1 for shard 0 (1 batches)
2026-05-06 19:59:06 | QueryProcessingActor-1 | INFO | query_actor.py:165 | [512_32_temp1:QueryProcessingActor-1] Initializing new inference engine (config hash: 69426b2c)
2026-05-06 19:59:06 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [512_32_temp1:QueryProcessingActor-1] Recreated embedding function: OpenAIEmbeddings
2026-05-06 19:59:06 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [512_32_temp1:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-06 19:59:06 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [512_32_temp1:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-05-06 19:59:06 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [512_32_temp1:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-05-06 19:59:06 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [512_32_temp1:QueryProcessingActor-1] Recreated retriever with search_type=similarity
2026-05-06 19:59:06 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-06 19:59:08 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [512_32_temp1:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-05-06 19:59:08 | Controller | INFO | controller.py:1422 | [512_32_temp1:Controller] Scheduling pipeline 3 (Pipeline 3) on actor 2 for shard 0 (1 batches)
2026-05-06 19:59:08 | QueryProcessingActor-2 | INFO | query_actor.py:165 | [512_32_temp1:QueryProcessingActor-2] Initializing new inference engine (config hash: 69426b2c)
2026-05-06 19:59:08 | QueryProcessingActor-2 | INFO | query_actor.py:198 | [512_32_temp1:QueryProcessingActor-2] Recreated embedding function: OpenAIEmbeddings
2026-05-06 19:59:08 | QueryProcessingActor-2 | INFO | query_actor.py:211 | [512_32_temp1:QueryProcessingActor-2] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-06 19:59:08 | QueryProcessingActor-2 | INFO | query_actor.py:215 | [512_32_temp1:QueryProcessingActor-2] Deserializing FAISS index for this actor...
2026-05-06 19:59:08 | QueryProcessingActor-2 | INFO | query_actor.py:230 | [512_32_temp1:QueryProcessingActor-2] Created independent FAISS vector store for this actor
2026-05-06 19:59:08 | QueryProcessingActor-2 | INFO | query_actor.py:260 | [512_32_temp1:QueryProcessingActor-2] Recreated retriever with search_type=similarity
2026-05-06 19:59:08 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-06 19:59:10 | QueryProcessingActor-2 | INFO | query_actor.py:277 | [512_32_temp1:QueryProcessingActor-2] Recreated RAG spec with retrieval mode
2026-05-06 19:59:10 | Controller | INFO | controller.py:1422 | [512_32_temp1:Controller] Scheduling pipeline 4 (Pipeline 4) on actor 3 for shard 0 (1 batches)
2026-05-06 19:59:10 | QueryProcessingActor-3 | INFO | query_actor.py:165 | [512_32_temp1:QueryProcessingActor-3] Initializing new inference engine (config hash: 69426b2c)
2026-05-06 19:59:11 | QueryProcessingActor-3 | INFO | query_actor.py:198 | [512_32_temp1:QueryProcessingActor-3] Recreated embedding function: OpenAIEmbeddings
2026-05-06 19:59:11 | QueryProcessingActor-3 | INFO | query_actor.py:211 | [512_32_temp1:QueryProcessingActor-3] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-06 19:59:11 | QueryProcessingActor-3 | INFO | query_actor.py:215 | [512_32_temp1:QueryProcessingActor-3] Deserializing FAISS index for this actor...
2026-05-06 19:59:11 | QueryProcessingActor-3 | INFO | query_actor.py:230 | [512_32_temp1:QueryProcessingActor-3] Created independent FAISS vector store for this actor
2026-05-06 19:59:11 | QueryProcessingActor-3 | INFO | query_actor.py:260 | [512_32_temp1:QueryProcessingActor-3] Recreated retriever with search_type=similarity
2026-05-06 19:59:11 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-06 19:59:13 | QueryProcessingActor-3 | INFO | query_actor.py:277 | [512_32_temp1:QueryProcessingActor-3] Recreated RAG spec with retrieval mode
2026-05-06 20:04:42 | Controller | INFO | controller.py:1299 | [512_32_temp1:Controller] Pipeline 1 completed shard 0 (1 batches, 336.24s)
