2026-05-04 18:49:50 | Experiment | INFO | metric_rfmetric_manager.py:141 | [temp0.5retry_1:Experiment] Created MLflow run: a7af0a424cc74f0ebd332f926f630e39, 5
2026-05-04 18:49:50 | Experiment | INFO | metric_rfmetric_manager.py:141 | [temp0.5retry_1:Experiment] Created MLflow run: ecf39e31690942f8af979207c4e4e939, 6
2026-05-04 18:49:50 | Experiment | INFO | metric_rfmetric_manager.py:141 | [temp0.5retry_1:Experiment] Created MLflow run: 983e242b1ce647c7aedc498a070dc275, 7
2026-05-04 18:49:50 | Experiment | INFO | metric_rfmetric_manager.py:141 | [temp0.5retry_1:Experiment] Created MLflow run: 1637070a35d040ccb2c18ddc46ff3a65, 8
2026-05-04 18:49:50 | Controller | INFO | controller.py:931 | [temp0.5retry_1:Controller] Initialized scheduler with 8 pipelines, 4 actors, 4 shards
2026-05-04 18:49:50 | Controller | INFO | controller.py:1118 | [temp0.5retry_1:Controller] Created experiment-wide rate limiter actor for 8 OpenAI pipeline(s) with per-model limits (api-mistral-small-3.2-2506: 120 RPM, 1000000 TPM)
2026-05-04 18:49:50 | Controller | INFO | controller.py:1124 | [temp0.5retry_1:Controller] Starting multi-pipeline inference scheduling...
2026-05-04 18:49:50 | Controller | INFO | controller.py:1422 | [temp0.5retry_1:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 0 (1 batches)
2026-05-04 18:50:13 | QueryProcessingActor-0 | INFO | query_actor.py:165 | [temp0.5retry_1:QueryProcessingActor-0] Initializing new inference engine (config hash: cb496c52)
2026-05-04 18:50:13 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [temp0.5retry_1:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-04 18:50:13 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [temp0.5retry_1:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-04 18:50:13 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [temp0.5retry_1:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-04 18:50:13 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [temp0.5retry_1:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-04 18:50:13 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [temp0.5retry_1:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-04 18:50:13 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-04 18:50:15 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [temp0.5retry_1:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-04 18:50:15 | Controller | INFO | controller.py:1422 | [temp0.5retry_1:Controller] Scheduling pipeline 2 (Pipeline 2) on actor 1 for shard 0 (1 batches)
2026-05-04 18:50:15 | QueryProcessingActor-1 | INFO | query_actor.py:165 | [temp0.5retry_1:QueryProcessingActor-1] Initializing new inference engine (config hash: cb496c52)
2026-05-04 18:50:15 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [temp0.5retry_1:QueryProcessingActor-1] Recreated embedding function: OpenAIEmbeddings
2026-05-04 18:50:15 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [temp0.5retry_1:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-04 18:50:15 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [temp0.5retry_1:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-05-04 18:50:15 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [temp0.5retry_1:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-05-04 18:50:15 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [temp0.5retry_1:QueryProcessingActor-1] Recreated retriever with search_type=similarity
2026-05-04 18:50:15 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-04 18:50:17 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [temp0.5retry_1:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-05-04 18:50:17 | Controller | INFO | controller.py:1422 | [temp0.5retry_1:Controller] Scheduling pipeline 3 (Pipeline 3) on actor 2 for shard 0 (1 batches)
