2026-05-04 19:52:43 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [temp0.5retry_2:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-04 19:52:43 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [temp0.5retry_2:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-04 19:52:43 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [temp0.5retry_2:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-04 19:52:43 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [temp0.5retry_2:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-04 19:52:43 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [temp0.5retry_2:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-04 19:52:43 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-04 19:52:45 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [temp0.5retry_2:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-04 19:52:45 | QueryProcessingActor-1 | INFO | query_actor.py:165 | [temp0.5retry_2:QueryProcessingActor-1] Initializing new inference engine (config hash: ae936682)
2026-05-04 19:52:45 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [temp0.5retry_2:QueryProcessingActor-1] Recreated embedding function: OpenAIEmbeddings
2026-05-04 19:52:45 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [temp0.5retry_2:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-04 19:52:45 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [temp0.5retry_2:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-05-04 19:52:45 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [temp0.5retry_2:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-05-04 19:52:45 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [temp0.5retry_2:QueryProcessingActor-1] Recreated retriever with search_type=similarity
