2026-05-07 11:22:35 | Experiment | INFO | metric_rfmetric_manager.py:141 | [512_32_temp1_4:Experiment] Created MLflow run: 0186f3a6881e4181941baaeb5788bb9d, 7
2026-05-07 11:22:35 | Experiment | INFO | metric_rfmetric_manager.py:141 | [512_32_temp1_4:Experiment] Created MLflow run: ca28382e603c49b78f5a15400f5d1d86, 8
2026-05-07 11:22:35 | Controller | INFO | controller.py:931 | [512_32_temp1_4:Controller] Initialized scheduler with 8 pipelines, 4 actors, 4 shards
2026-05-07 11:22:35 | Controller | INFO | controller.py:1118 | [512_32_temp1_4:Controller] Created experiment-wide rate limiter actor for 8 OpenAI pipeline(s) with per-model limits (api-mistral-small-3.2-2506: 120 RPM, 1000000 TPM)
2026-05-07 11:22:35 | Controller | INFO | controller.py:1124 | [512_32_temp1_4:Controller] Starting multi-pipeline inference scheduling...
2026-05-07 11:22:35 | Controller | INFO | controller.py:1422 | [512_32_temp1_4:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 0 (1 batches)
2026-05-07 11:22:57 | QueryProcessingActor-0 | INFO | query_actor.py:165 | [512_32_temp1_4:QueryProcessingActor-0] Initializing new inference engine (config hash: 0293601a)
2026-05-07 11:22:58 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [512_32_temp1_4:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-07 11:22:58 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [512_32_temp1_4:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 11:22:58 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [512_32_temp1_4:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-07 11:22:58 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [512_32_temp1_4:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-07 11:22:58 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [512_32_temp1_4:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-07 11:22:58 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 11:23:00 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [512_32_temp1_4:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-07 11:23:00 | Controller | INFO | controller.py:1422 | [512_32_temp1_4:Controller] Scheduling pipeline 2 (Pipeline 2) on actor 1 for shard 0 (1 batches)
2026-05-07 11:23:00 | QueryProcessingActor-1 | INFO | query_actor.py:165 | [512_32_temp1_4:QueryProcessingActor-1] Initializing new inference engine (config hash: 0293601a)
2026-05-07 11:23:00 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [512_32_temp1_4:QueryProcessingActor-1] Recreated embedding function: OpenAIEmbeddings
2026-05-07 11:23:00 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [512_32_temp1_4:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
