2026-05-05 17:10:57 | Experiment | INFO | experiment.py:165 | [temp0.1_1:Experiment] An experiment with the same name already exists. Created a new experiment 'temp0.1_1' with Experiment ID: 25 at /home/ayliang/rapidfireai/rapidfire_experiments/temp0.1_1
2026-05-05 17:11:16 | Experiment | INFO | metric_rfmetric_manager.py:55 | [temp0.1_1:Experiment] Initialized MLflowMetricLogger: rf_mlflow
2026-05-05 17:11:16 | Experiment | INFO | metric_rfmetric_manager.py:119 | [temp0.1_1:Experiment] Creating MLflow experiment: temp0.1_1
2026-05-05 17:11:16 | Experiment | INFO | experiment.py:210 | [temp0.1_1:Experiment] Initialized MetricLogger experiment: 22
2026-05-05 17:11:16 | Experiment | INFO | experiment.py:226 | [temp0.1_1:Experiment] Using existing dispatcher/api server at 127.0.0.1:8851.
2026-05-05 17:11:18 | Experiment | WARNING | experiment.py:381 | [temp0.1_1:Experiment] No GPUs available. Be sure to use external APIs for inference.
2026-05-05 17:11:18 | Experiment | INFO | experiment.py:383 | [temp0.1_1:Experiment] Running multi-config experiment with 4 shard(s), (0.0 GPUs per actor, 8.0 CPUs per actor, 4 actors)
2026-05-05 17:11:18 | Experiment | INFO | experiment.py:392 | [temp0.1_1:Experiment] Reset states of existing pipelines/contexts/tasks (marked as failed)
2026-05-05 17:11:18 | Controller | INFO | controller.py:895 | [temp0.1_1:Controller] Dataset sharded into 4 shard(s). Shard sizes: [12, 11, 11, 11]
2026-05-05 17:11:18 | Controller | INFO | controller.py:900 | [temp0.1_1:Controller] Received 8 pipeline configuration(s)
2026-05-05 17:11:18 | Controller | INFO | controller.py:309 | [temp0.1_1:Controller] Found 2 unique RAG context(s)
2026-05-05 17:11:18 | Controller | INFO | controller.py:320 | [temp0.1_1:Controller] Will build new context e5acc851...
2026-05-05 17:11:18 | Controller | INFO | controller.py:320 | [temp0.1_1:Controller] Will build new context 65cd11ed...
2026-05-05 17:11:18 | Controller | INFO | controller.py:346 | [temp0.1_1:Controller] Building 2 context(s) in parallel...
2026-05-05 17:11:18 | Controller | INFO | controller.py:373 | [temp0.1_1:Controller] Creating 2 DocProcessingActor(s) for parallel processing
2026-05-05 17:11:20 | matplotlib.font_manager | INFO | font_manager.py:1639 | generated new fontManager
2026-05-05 17:11:21 | Controller | INFO | controller.py:461 | [temp0.1_1:Controller] Submitted 2 build task(s) in parallel
2026-05-05 17:11:47 | DocProcessingActor | INFO | doc_actor.py:59 | [temp0.1_1:DocProcessingActor] DocProcessingActor initialized
2026-05-05 17:11:47 | DocProcessingActor | INFO | doc_actor.py:59 | [temp0.1_1:DocProcessingActor] DocProcessingActor initialized
2026-05-05 17:11:49 | DocProcessingActor | INFO | doc_actor.py:96 | [temp0.1_1:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-05 17:11:49 | DocProcessingActor | INFO | doc_actor.py:107 | [temp0.1_1:DocProcessingActor] Building document index...
2026-05-05 17:11:49 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-05 17:11:50 | DocProcessingActor | INFO | doc_actor.py:96 | [temp0.1_1:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-05 17:11:50 | DocProcessingActor | INFO | doc_actor.py:107 | [temp0.1_1:DocProcessingActor] Building document index...
2026-05-05 17:11:51 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-05 17:12:05 | DocProcessingActor | INFO | doc_actor.py:109 | [temp0.1_1:DocProcessingActor] Document index built successfully
2026-05-05 17:12:05 | DocProcessingActor | INFO | doc_actor.py:134 | [temp0.1_1:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-05 17:12:05 | DocProcessingActor | INFO | doc_actor.py:144 | [temp0.1_1:DocProcessingActor] FAISS index serialized: 2654116 bytes
2026-05-05 17:12:05 | DocProcessingActor | INFO | doc_actor.py:189 | [temp0.1_1:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-05 17:12:11 | DocProcessingActor | INFO | doc_actor.py:109 | [temp0.1_1:DocProcessingActor] Document index built successfully
2026-05-05 17:12:11 | DocProcessingActor | INFO | doc_actor.py:134 | [temp0.1_1:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-05 17:12:11 | DocProcessingActor | INFO | doc_actor.py:144 | [temp0.1_1:DocProcessingActor] FAISS index serialized: 5753640 bytes
2026-05-05 17:12:11 | DocProcessingActor | INFO | doc_actor.py:189 | [temp0.1_1:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-05 17:12:11 | Controller | INFO | controller.py:482 | [temp0.1_1:Controller] Built context 1 (e5acc851...) successfully in 52.81s
