2026-05-02 03:41:23 | DocProcessingActor | INFO | doc_actor.py:189 | [experiment_exploration_chunk_grid:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-02 03:41:26 | DocProcessingActor | INFO | doc_actor.py:109 | [experiment_exploration_chunk_grid:DocProcessingActor] Document index built successfully
2026-05-02 03:41:26 | DocProcessingActor | INFO | doc_actor.py:134 | [experiment_exploration_chunk_grid:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-02 03:41:26 | DocProcessingActor | INFO | doc_actor.py:144 | [experiment_exploration_chunk_grid:DocProcessingActor] FAISS index serialized: 5753640 bytes
2026-05-02 03:41:26 | DocProcessingActor | INFO | doc_actor.py:189 | [experiment_exploration_chunk_grid:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-02 03:41:26 | DocProcessingActor | INFO | doc_actor.py:109 | [experiment_exploration_chunk_grid:DocProcessingActor] Document index built successfully
2026-05-02 03:41:26 | DocProcessingActor | INFO | doc_actor.py:134 | [experiment_exploration_chunk_grid:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-02 03:41:26 | DocProcessingActor | INFO | doc_actor.py:144 | [experiment_exploration_chunk_grid:DocProcessingActor] FAISS index serialized: 5672964 bytes
2026-05-02 03:41:26 | DocProcessingActor | INFO | doc_actor.py:189 | [experiment_exploration_chunk_grid:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-02 03:41:26 | Controller | INFO | controller.py:482 | [experiment_exploration_chunk_grid:Controller] Built context 1 (9fef6fb4...) successfully in 33.18s
2026-05-02 03:41:26 | Controller | INFO | controller.py:482 | [experiment_exploration_chunk_grid:Controller] Built context 2 (6f40f8a0...) successfully in 33.20s
2026-05-02 03:41:27 | DocProcessingActor | INFO | doc_actor.py:109 | [experiment_exploration_chunk_grid:DocProcessingActor] Document index built successfully
2026-05-02 03:41:27 | DocProcessingActor | INFO | doc_actor.py:134 | [experiment_exploration_chunk_grid:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-02 03:41:27 | DocProcessingActor | INFO | doc_actor.py:144 | [experiment_exploration_chunk_grid:DocProcessingActor] FAISS index serialized: 6271072 bytes
2026-05-02 03:41:27 | DocProcessingActor | INFO | doc_actor.py:189 | [experiment_exploration_chunk_grid:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-02 03:41:27 | Controller | INFO | controller.py:482 | [experiment_exploration_chunk_grid:Controller] Built context 3 (4d592470...) successfully in 33.74s
2026-05-02 03:41:27 | Controller | INFO | controller.py:482 | [experiment_exploration_chunk_grid:Controller] Built context 4 (dfaede48...) successfully in 33.76s
2026-05-02 03:41:47 | DocProcessingActor | INFO | doc_actor.py:59 | [experiment_exploration_chunk_grid:DocProcessingActor] DocProcessingActor initialized
2026-05-02 03:41:47 | DocProcessingActor | INFO | doc_actor.py:59 | [experiment_exploration_chunk_grid:DocProcessingActor] DocProcessingActor initialized
2026-05-02 03:41:47 | DocProcessingActor | INFO | doc_actor.py:59 | [experiment_exploration_chunk_grid:DocProcessingActor] DocProcessingActor initialized
2026-05-02 03:41:47 | DocProcessingActor | INFO | doc_actor.py:59 | [experiment_exploration_chunk_grid:DocProcessingActor] DocProcessingActor initialized
2026-05-02 03:41:49 | DocProcessingActor | INFO | doc_actor.py:96 | [experiment_exploration_chunk_grid:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-02 03:41:49 | DocProcessingActor | INFO | doc_actor.py:107 | [experiment_exploration_chunk_grid:DocProcessingActor] Building document index...
2026-05-02 03:41:49 | DocProcessingActor | INFO | doc_actor.py:96 | [experiment_exploration_chunk_grid:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-02 03:41:49 | DocProcessingActor | INFO | doc_actor.py:107 | [experiment_exploration_chunk_grid:DocProcessingActor] Building document index...
2026-05-02 03:41:49 | DocProcessingActor | INFO | doc_actor.py:96 | [experiment_exploration_chunk_grid:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-02 03:41:49 | DocProcessingActor | INFO | doc_actor.py:107 | [experiment_exploration_chunk_grid:DocProcessingActor] Building document index...
2026-05-02 03:41:49 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-02 03:41:49 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-02 03:41:50 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-02 03:41:50 | DocProcessingActor | INFO | doc_actor.py:96 | [experiment_exploration_chunk_grid:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-02 03:41:50 | DocProcessingActor | INFO | doc_actor.py:107 | [experiment_exploration_chunk_grid:DocProcessingActor] Building document index...
2026-05-02 03:41:50 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-02 03:41:54 | DocProcessingActor | INFO | doc_actor.py:109 | [experiment_exploration_chunk_grid:DocProcessingActor] Document index built successfully
2026-05-02 03:41:54 | DocProcessingActor | INFO | doc_actor.py:134 | [experiment_exploration_chunk_grid:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-02 03:41:54 | DocProcessingActor | INFO | doc_actor.py:144 | [experiment_exploration_chunk_grid:DocProcessingActor] FAISS index serialized: 1246804 bytes
2026-05-02 03:41:54 | DocProcessingActor | INFO | doc_actor.py:189 | [experiment_exploration_chunk_grid:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-02 03:41:54 | DocProcessingActor | INFO | doc_actor.py:109 | [experiment_exploration_chunk_grid:DocProcessingActor] Document index built successfully
2026-05-02 03:41:54 | DocProcessingActor | INFO | doc_actor.py:134 | [experiment_exploration_chunk_grid:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-02 03:41:54 | DocProcessingActor | INFO | doc_actor.py:144 | [experiment_exploration_chunk_grid:DocProcessingActor] FAISS index serialized: 1251040 bytes
2026-05-02 03:41:54 | DocProcessingActor | INFO | doc_actor.py:189 | [experiment_exploration_chunk_grid:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-02 03:41:55 | DocProcessingActor | INFO | doc_actor.py:109 | [experiment_exploration_chunk_grid:DocProcessingActor] Document index built successfully
2026-05-02 03:41:55 | DocProcessingActor | INFO | doc_actor.py:134 | [experiment_exploration_chunk_grid:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-02 03:41:55 | DocProcessingActor | INFO | doc_actor.py:144 | [experiment_exploration_chunk_grid:DocProcessingActor] FAISS index serialized: 2730492 bytes
2026-05-02 03:41:55 | DocProcessingActor | INFO | doc_actor.py:189 | [experiment_exploration_chunk_grid:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-02 03:41:56 | DocProcessingActor | INFO | doc_actor.py:109 | [experiment_exploration_chunk_grid:DocProcessingActor] Document index built successfully
2026-05-02 03:41:56 | DocProcessingActor | INFO | doc_actor.py:134 | [experiment_exploration_chunk_grid:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-02 03:41:56 | DocProcessingActor | INFO | doc_actor.py:144 | [experiment_exploration_chunk_grid:DocProcessingActor] FAISS index serialized: 2654116 bytes
2026-05-02 03:41:56 | DocProcessingActor | INFO | doc_actor.py:189 | [experiment_exploration_chunk_grid:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-02 03:41:56 | Controller | INFO | controller.py:482 | [experiment_exploration_chunk_grid:Controller] Built context 5 (d37e4a47...) successfully in 62.77s
2026-05-02 03:41:56 | Controller | INFO | controller.py:482 | [experiment_exploration_chunk_grid:Controller] Built context 6 (7244e28c...) successfully in 62.77s
