2026-05-01 16:41:46 | Experiment | INFO | metric_rfmetric_manager.py:141 | [experimentOscar:Experiment] Created MLflow run: 05fce3b060bf4c6b8a3459924b60d3e3, 7
2026-05-01 16:41:46 | Experiment | INFO | metric_rfmetric_manager.py:141 | [experimentOscar:Experiment] Created MLflow run: 043d6ec94f6441f8bb58e798a5925c16, 8
2026-05-01 16:41:46 | Experiment | INFO | metric_rfmetric_manager.py:141 | [experimentOscar:Experiment] Created MLflow run: ca227e3dfa524c1c9bb92bfa3b7ec6e3, 9
2026-05-01 16:41:46 | Experiment | INFO | metric_rfmetric_manager.py:141 | [experimentOscar:Experiment] Created MLflow run: e6e7f2b824b2470db347dead43d5997a, 10
2026-05-01 16:41:47 | Experiment | INFO | metric_rfmetric_manager.py:141 | [experimentOscar:Experiment] Created MLflow run: 16c9f09cf1e24082b0474db3bc8932b6, 11
2026-05-01 16:41:47 | Experiment | INFO | metric_rfmetric_manager.py:141 | [experimentOscar:Experiment] Created MLflow run: 07e3f97bcc4344b4bd73cfb0b47efa2a, 12
2026-05-01 16:41:47 | Controller | INFO | controller.py:931 | [experimentOscar:Controller] Initialized scheduler with 12 pipelines, 4 actors, 4 shards
2026-05-01 16:41:47 | Controller | INFO | controller.py:1118 | [experimentOscar:Controller] Created experiment-wide rate limiter actor for 12 OpenAI pipeline(s) with per-model limits (api-mistral-small-3.2-2506: 120 RPM, 1000000 TPM)
2026-05-01 16:41:47 | Controller | INFO | controller.py:1124 | [experimentOscar:Controller] Starting multi-pipeline inference scheduling...
2026-05-01 16:41:47 | Controller | INFO | controller.py:1422 | [experimentOscar:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 0 (1 batches)
2026-05-01 16:42:08 | QueryProcessingActor-0 | INFO | query_actor.py:165 | [experimentOscar:QueryProcessingActor-0] Initializing new inference engine (config hash: 29bb82c2)
2026-05-01 16:42:08 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-05-01 16:42:10 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [experimentOscar:QueryProcessingActor-0] Recreated embedding function: HuggingFaceEmbeddings
2026-05-01 16:42:10 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [experimentOscar:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-01 16:42:10 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [experimentOscar:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-01 16:42:10 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [experimentOscar:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-01 16:42:10 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [experimentOscar:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-01 16:42:10 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-01 16:42:11 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [experimentOscar:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-01 16:42:11 | Controller | INFO | controller.py:1422 | [experimentOscar:Controller] Scheduling pipeline 2 (Pipeline 2) on actor 1 for shard 0 (1 batches)
2026-05-01 16:42:12 | QueryProcessingActor-1 | INFO | query_actor.py:165 | [experimentOscar:QueryProcessingActor-1] Initializing new inference engine (config hash: 29bb82c2)
2026-05-01 16:42:12 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-05-01 16:42:14 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [experimentOscar:QueryProcessingActor-1] Recreated embedding function: HuggingFaceEmbeddings
2026-05-01 16:42:14 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [experimentOscar:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-01 16:42:14 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [experimentOscar:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-05-01 16:42:14 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [experimentOscar:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-05-01 16:42:14 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [experimentOscar:QueryProcessingActor-1] Recreated retriever with search_type=similarity
2026-05-01 16:42:14 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-01 16:42:21 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [experimentOscar:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-05-01 16:42:21 | Controller | INFO | controller.py:1422 | [experimentOscar:Controller] Scheduling pipeline 3 (Pipeline 3) on actor 2 for shard 0 (1 batches)
2026-05-01 16:42:21 | QueryProcessingActor-2 | INFO | query_actor.py:165 | [experimentOscar:QueryProcessingActor-2] Initializing new inference engine (config hash: 29bb82c2)
2026-05-01 16:42:22 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
