2026-05-04 18:36:13 | Experiment | INFO | metric_rfmetric_manager.py:141 | [temp0.5retry:Experiment] Created MLflow run: b74c892d02d14f79a1a25964a4370e5d, 5
2026-05-04 18:36:13 | Experiment | INFO | metric_rfmetric_manager.py:141 | [temp0.5retry:Experiment] Created MLflow run: 583035d8d17645ea9c073bfd3a3af2aa, 6
2026-05-04 18:36:13 | Experiment | INFO | metric_rfmetric_manager.py:141 | [temp0.5retry:Experiment] Created MLflow run: 2b8e169d251b43bbac8b9d29fb9775d4, 7
2026-05-04 18:36:13 | Experiment | INFO | metric_rfmetric_manager.py:141 | [temp0.5retry:Experiment] Created MLflow run: 0e18370fa42344fd92ceeaf677d5fd12, 8
2026-05-04 18:36:13 | Controller | INFO | controller.py:931 | [temp0.5retry:Controller] Initialized scheduler with 8 pipelines, 4 actors, 4 shards
2026-05-04 18:36:13 | Controller | INFO | controller.py:1118 | [temp0.5retry:Controller] Created experiment-wide rate limiter actor for 8 OpenAI pipeline(s) with per-model limits (api-mistral-small-3.2-2506: 120 RPM, 1000000 TPM)
2026-05-04 18:36:13 | Controller | INFO | controller.py:1124 | [temp0.5retry:Controller] Starting multi-pipeline inference scheduling...
2026-05-04 18:36:13 | Controller | INFO | controller.py:1422 | [temp0.5retry:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 0 (1 batches)
2026-05-04 18:36:37 | QueryProcessingActor-0 | INFO | query_actor.py:165 | [temp0.5retry:QueryProcessingActor-0] Initializing new inference engine (config hash: e7af5efd)
2026-05-04 18:36:37 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [temp0.5retry:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-04 18:36:37 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [temp0.5retry:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-04 18:36:37 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [temp0.5retry:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-04 18:36:37 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [temp0.5retry:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-04 18:36:37 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [temp0.5retry:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-04 18:36:37 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-04 18:36:39 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [temp0.5retry:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-04 18:36:39 | Controller | INFO | controller.py:1422 | [temp0.5retry:Controller] Scheduling pipeline 2 (Pipeline 2) on actor 1 for shard 0 (1 batches)
2026-05-04 18:36:39 | QueryProcessingActor-1 | INFO | query_actor.py:165 | [temp0.5retry:QueryProcessingActor-1] Initializing new inference engine (config hash: e7af5efd)
2026-05-04 18:36:39 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [temp0.5retry:QueryProcessingActor-1] Recreated embedding function: OpenAIEmbeddings
2026-05-04 18:36:39 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [temp0.5retry:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-04 18:36:39 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [temp0.5retry:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-05-04 18:36:39 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [temp0.5retry:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-05-04 18:36:39 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [temp0.5retry:QueryProcessingActor-1] Recreated retriever with search_type=similarity
2026-05-04 18:36:39 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-04 18:36:42 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [temp0.5retry:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-05-04 18:36:42 | Controller | INFO | controller.py:1422 | [temp0.5retry:Controller] Scheduling pipeline 3 (Pipeline 3) on actor 2 for shard 0 (1 batches)
2026-05-04 18:36:42 | QueryProcessingActor-2 | INFO | query_actor.py:165 | [temp0.5retry:QueryProcessingActor-2] Initializing new inference engine (config hash: e7af5efd)
2026-05-04 18:36:42 | QueryProcessingActor-2 | INFO | query_actor.py:198 | [temp0.5retry:QueryProcessingActor-2] Recreated embedding function: OpenAIEmbeddings
2026-05-04 18:36:42 | QueryProcessingActor-2 | INFO | query_actor.py:211 | [temp0.5retry:QueryProcessingActor-2] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-04 18:36:42 | QueryProcessingActor-2 | INFO | query_actor.py:215 | [temp0.5retry:QueryProcessingActor-2] Deserializing FAISS index for this actor...
2026-05-04 18:36:42 | QueryProcessingActor-2 | INFO | query_actor.py:230 | [temp0.5retry:QueryProcessingActor-2] Created independent FAISS vector store for this actor
2026-05-04 18:36:42 | QueryProcessingActor-2 | INFO | query_actor.py:260 | [temp0.5retry:QueryProcessingActor-2] Recreated retriever with search_type=similarity
2026-05-04 18:36:42 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-04 18:36:44 | QueryProcessingActor-2 | INFO | query_actor.py:277 | [temp0.5retry:QueryProcessingActor-2] Recreated RAG spec with retrieval mode
2026-05-04 18:36:44 | Controller | INFO | controller.py:1422 | [temp0.5retry:Controller] Scheduling pipeline 4 (Pipeline 4) on actor 3 for shard 0 (1 batches)
2026-05-04 18:36:44 | QueryProcessingActor-3 | INFO | query_actor.py:165 | [temp0.5retry:QueryProcessingActor-3] Initializing new inference engine (config hash: e7af5efd)
2026-05-04 18:36:44 | QueryProcessingActor-3 | INFO | query_actor.py:198 | [temp0.5retry:QueryProcessingActor-3] Recreated embedding function: OpenAIEmbeddings
2026-05-04 18:36:44 | QueryProcessingActor-3 | INFO | query_actor.py:211 | [temp0.5retry:QueryProcessingActor-3] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-04 18:36:44 | QueryProcessingActor-3 | INFO | query_actor.py:215 | [temp0.5retry:QueryProcessingActor-3] Deserializing FAISS index for this actor...
2026-05-04 18:36:44 | QueryProcessingActor-3 | INFO | query_actor.py:230 | [temp0.5retry:QueryProcessingActor-3] Created independent FAISS vector store for this actor
2026-05-04 18:36:44 | QueryProcessingActor-3 | INFO | query_actor.py:260 | [temp0.5retry:QueryProcessingActor-3] Recreated retriever with search_type=similarity
2026-05-04 18:36:44 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-04 18:36:47 | QueryProcessingActor-3 | INFO | query_actor.py:277 | [temp0.5retry:QueryProcessingActor-3] Recreated RAG spec with retrieval mode
2026-05-04 18:38:47 | Controller | INFO | controller.py:1299 | [temp0.5retry:Controller] Pipeline 1 completed shard 0 (1 batches, 127.63s)
2026-05-04 18:38:47 | Controller | INFO | controller.py:1422 | [temp0.5retry:Controller] Scheduling pipeline 5 (Pipeline 5) on actor 0 for shard 0 (1 batches)
2026-05-04 18:38:47 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [temp0.5retry:QueryProcessingActor-0] Reusing existing inference engine (config hash: e7af5efd)
2026-05-04 18:38:47 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [temp0.5retry:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-04 18:38:47 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [temp0.5retry:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-04 18:38:47 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [temp0.5retry:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-04 18:38:47 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [temp0.5retry:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-04 18:38:47 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [temp0.5retry:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-04 18:38:47 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-04 18:38:49 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [temp0.5retry:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-04 18:38:49 | Controller | INFO | controller.py:1299 | [temp0.5retry:Controller] Pipeline 2 completed shard 0 (1 batches, 127.55s)
2026-05-04 18:38:49 | Controller | INFO | controller.py:1422 | [temp0.5retry:Controller] Scheduling pipeline 6 (Pipeline 6) on actor 1 for shard 0 (1 batches)
2026-05-04 18:38:49 | QueryProcessingActor-1 | INFO | query_actor.py:169 | [temp0.5retry:QueryProcessingActor-1] Reusing existing inference engine (config hash: e7af5efd)
2026-05-04 18:38:49 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [temp0.5retry:QueryProcessingActor-1] Recreated embedding function: OpenAIEmbeddings
2026-05-04 18:38:49 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [temp0.5retry:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-04 18:38:49 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [temp0.5retry:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-05-04 18:38:50 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [temp0.5retry:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-05-04 18:38:50 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [temp0.5retry:QueryProcessingActor-1] Recreated retriever with search_type=similarity
2026-05-04 18:38:50 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-04 18:38:52 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [temp0.5retry:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-05-04 18:39:58 | Controller | INFO | controller.py:1299 | [temp0.5retry:Controller] Pipeline 3 completed shard 0 (1 batches, 193.74s)
2026-05-04 18:39:58 | Controller | INFO | controller.py:1422 | [temp0.5retry:Controller] Scheduling pipeline 7 (Pipeline 7) on actor 2 for shard 0 (1 batches)
