2026-05-07 13:02:19 | Experiment | INFO | metric_rfmetric_manager.py:141 | [otran_aliang_final_configs_1:Experiment] Created MLflow run: 08a980ba66214854b4eb747584269b16, 5
2026-05-07 13:02:19 | Experiment | INFO | metric_rfmetric_manager.py:141 | [otran_aliang_final_configs_1:Experiment] Created MLflow run: 989f3ba5cc44413a854b056d9c0145d9, 6
2026-05-07 13:02:19 | Experiment | INFO | metric_rfmetric_manager.py:141 | [otran_aliang_final_configs_1:Experiment] Created MLflow run: 0006683cd24b4b029deee3f1821169fb, 7
2026-05-07 13:02:19 | Experiment | INFO | metric_rfmetric_manager.py:141 | [otran_aliang_final_configs_1:Experiment] Created MLflow run: 13cffe00fe3d4e9b8501a4add1fce3db, 8
2026-05-07 13:02:19 | Controller | INFO | controller.py:931 | [otran_aliang_final_configs_1:Controller] Initialized scheduler with 8 pipelines, 4 actors, 4 shards
2026-05-07 13:02:20 | Controller | INFO | controller.py:1118 | [otran_aliang_final_configs_1:Controller] Created experiment-wide rate limiter actor for 8 OpenAI pipeline(s) with per-model limits (api-mistral-small-3.2-2506: 120 RPM, 1000000 TPM)
2026-05-07 13:02:20 | Controller | INFO | controller.py:1124 | [otran_aliang_final_configs_1:Controller] Starting multi-pipeline inference scheduling...
2026-05-07 13:02:20 | Controller | INFO | controller.py:1422 | [otran_aliang_final_configs_1:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 0 (1 batches)
2026-05-07 13:02:41 | QueryProcessingActor-0 | INFO | query_actor.py:165 | [otran_aliang_final_configs_1:QueryProcessingActor-0] Initializing new inference engine (config hash: 56874b2d)
2026-05-07 13:02:41 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [otran_aliang_final_configs_1:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-07 13:02:41 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [otran_aliang_final_configs_1:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 13:02:41 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [otran_aliang_final_configs_1:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-07 13:02:41 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [otran_aliang_final_configs_1:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-07 13:02:41 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [otran_aliang_final_configs_1:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-07 13:02:41 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 13:02:43 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [otran_aliang_final_configs_1:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-07 13:02:44 | Controller | INFO | controller.py:1422 | [otran_aliang_final_configs_1:Controller] Scheduling pipeline 2 (Pipeline 2) on actor 1 for shard 0 (1 batches)
