2026-05-05 14:48:26 | QueryProcessingActor-2 | INFO | query_actor.py:198 | [temp0.2_512_19:QueryProcessingActor-2] Recreated embedding function: OpenAIEmbeddings
2026-05-05 14:48:26 | QueryProcessingActor-2 | INFO | query_actor.py:211 | [temp0.2_512_19:QueryProcessingActor-2] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-05 14:48:26 | QueryProcessingActor-2 | INFO | query_actor.py:215 | [temp0.2_512_19:QueryProcessingActor-2] Deserializing FAISS index for this actor...
2026-05-05 14:48:26 | QueryProcessingActor-2 | INFO | query_actor.py:230 | [temp0.2_512_19:QueryProcessingActor-2] Created independent FAISS vector store for this actor
2026-05-05 14:48:26 | QueryProcessingActor-2 | INFO | query_actor.py:260 | [temp0.2_512_19:QueryProcessingActor-2] Recreated retriever with search_type=similarity
2026-05-05 14:48:26 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-05 14:48:29 | QueryProcessingActor-2 | INFO | query_actor.py:277 | [temp0.2_512_19:QueryProcessingActor-2] Recreated RAG spec with retrieval mode
2026-05-05 14:55:08 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [temp0.2_512_19:QueryProcessingActor-0] Reusing existing inference engine (config hash: 358b9a56)
2026-05-05 14:55:08 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [temp0.2_512_19:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-05 14:55:08 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [temp0.2_512_19:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-05 14:55:08 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [temp0.2_512_19:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-05 14:55:08 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [temp0.2_512_19:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-05 14:55:08 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [temp0.2_512_19:QueryProcessingActor-0] Recreated retriever with search_type=similarity
