2026-05-06 22:52:38 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-06 22:52:40 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [512_32_temp1_2:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-05-06 22:54:32 | QueryProcessingActor-2 | INFO | query_actor.py:169 | [512_32_temp1_2:QueryProcessingActor-2] Reusing existing inference engine (config hash: 776091b8)
2026-05-06 22:54:32 | QueryProcessingActor-2 | INFO | query_actor.py:198 | [512_32_temp1_2:QueryProcessingActor-2] Recreated embedding function: OpenAIEmbeddings
2026-05-06 22:54:32 | QueryProcessingActor-2 | INFO | query_actor.py:211 | [512_32_temp1_2:QueryProcessingActor-2] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-06 22:54:32 | QueryProcessingActor-2 | INFO | query_actor.py:215 | [512_32_temp1_2:QueryProcessingActor-2] Deserializing FAISS index for this actor...
2026-05-06 22:54:32 | QueryProcessingActor-2 | INFO | query_actor.py:230 | [512_32_temp1_2:QueryProcessingActor-2] Created independent FAISS vector store for this actor
2026-05-06 22:54:32 | QueryProcessingActor-2 | INFO | query_actor.py:260 | [512_32_temp1_2:QueryProcessingActor-2] Recreated retriever with search_type=similarity
2026-05-06 22:54:32 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-06 22:54:34 | QueryProcessingActor-2 | INFO | query_actor.py:277 | [512_32_temp1_2:QueryProcessingActor-2] Recreated RAG spec with retrieval mode
2026-05-06 22:54:34 | QueryProcessingActor-3 | INFO | query_actor.py:169 | [512_32_temp1_2:QueryProcessingActor-3] Reusing existing inference engine (config hash: 776091b8)
2026-05-06 22:54:34 | QueryProcessingActor-3 | INFO | query_actor.py:198 | [512_32_temp1_2:QueryProcessingActor-3] Recreated embedding function: OpenAIEmbeddings
2026-05-06 22:54:34 | QueryProcessingActor-3 | INFO | query_actor.py:211 | [512_32_temp1_2:QueryProcessingActor-3] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-06 22:54:34 | QueryProcessingActor-3 | INFO | query_actor.py:215 | [512_32_temp1_2:QueryProcessingActor-3] Deserializing FAISS index for this actor...
2026-05-06 22:54:34 | QueryProcessingActor-3 | INFO | query_actor.py:230 | [512_32_temp1_2:QueryProcessingActor-3] Created independent FAISS vector store for this actor
2026-05-06 22:54:34 | QueryProcessingActor-3 | INFO | query_actor.py:260 | [512_32_temp1_2:QueryProcessingActor-3] Recreated retriever with search_type=similarity
2026-05-06 22:54:34 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-06 22:54:37 | QueryProcessingActor-3 | INFO | query_actor.py:277 | [512_32_temp1_2:QueryProcessingActor-3] Recreated RAG spec with retrieval mode
2026-05-06 23:02:55 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [512_32_temp1_2:QueryProcessingActor-0] Reusing existing inference engine (config hash: 776091b8)
2026-05-06 23:02:55 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [512_32_temp1_2:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-06 23:02:55 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [512_32_temp1_2:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-06 23:02:55 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [512_32_temp1_2:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-06 23:02:55 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [512_32_temp1_2:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-06 23:02:55 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [512_32_temp1_2:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-06 23:02:55 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-06 23:02:58 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [512_32_temp1_2:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-06 23:03:08 | QueryProcessingActor-1 | INFO | query_actor.py:169 | [512_32_temp1_2:QueryProcessingActor-1] Reusing existing inference engine (config hash: 776091b8)
2026-05-06 23:03:08 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [512_32_temp1_2:QueryProcessingActor-1] Recreated embedding function: OpenAIEmbeddings
2026-05-06 23:03:08 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [512_32_temp1_2:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-06 23:03:08 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [512_32_temp1_2:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-05-06 23:03:08 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [512_32_temp1_2:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-05-06 23:03:08 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [512_32_temp1_2:QueryProcessingActor-1] Recreated retriever with search_type=similarity
2026-05-06 23:03:09 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-06 23:03:11 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [512_32_temp1_2:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-05-06 23:08:13 | QueryProcessingActor-2 | INFO | query_actor.py:169 | [512_32_temp1_2:QueryProcessingActor-2] Reusing existing inference engine (config hash: 776091b8)
2026-05-06 23:08:13 | QueryProcessingActor-2 | INFO | query_actor.py:198 | [512_32_temp1_2:QueryProcessingActor-2] Recreated embedding function: OpenAIEmbeddings
2026-05-06 23:08:13 | QueryProcessingActor-2 | INFO | query_actor.py:211 | [512_32_temp1_2:QueryProcessingActor-2] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-06 23:08:13 | QueryProcessingActor-2 | INFO | query_actor.py:215 | [512_32_temp1_2:QueryProcessingActor-2] Deserializing FAISS index for this actor...
2026-05-06 23:08:13 | QueryProcessingActor-2 | INFO | query_actor.py:230 | [512_32_temp1_2:QueryProcessingActor-2] Created independent FAISS vector store for this actor
2026-05-06 23:08:13 | QueryProcessingActor-2 | INFO | query_actor.py:260 | [512_32_temp1_2:QueryProcessingActor-2] Recreated retriever with search_type=similarity
2026-05-06 23:08:13 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-06 23:08:15 | QueryProcessingActor-2 | INFO | query_actor.py:277 | [512_32_temp1_2:QueryProcessingActor-2] Recreated RAG spec with retrieval mode
2026-05-06 23:08:53 | QueryProcessingActor-3 | INFO | query_actor.py:169 | [512_32_temp1_2:QueryProcessingActor-3] Reusing existing inference engine (config hash: 776091b8)
2026-05-06 23:08:53 | QueryProcessingActor-3 | INFO | query_actor.py:198 | [512_32_temp1_2:QueryProcessingActor-3] Recreated embedding function: OpenAIEmbeddings
2026-05-06 23:08:53 | QueryProcessingActor-3 | INFO | query_actor.py:211 | [512_32_temp1_2:QueryProcessingActor-3] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-06 23:08:53 | QueryProcessingActor-3 | INFO | query_actor.py:215 | [512_32_temp1_2:QueryProcessingActor-3] Deserializing FAISS index for this actor...
2026-05-06 23:08:53 | QueryProcessingActor-3 | INFO | query_actor.py:230 | [512_32_temp1_2:QueryProcessingActor-3] Created independent FAISS vector store for this actor
2026-05-06 23:08:53 | QueryProcessingActor-3 | INFO | query_actor.py:260 | [512_32_temp1_2:QueryProcessingActor-3] Recreated retriever with search_type=similarity
2026-05-06 23:08:53 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-06 23:08:55 | QueryProcessingActor-3 | INFO | query_actor.py:277 | [512_32_temp1_2:QueryProcessingActor-3] Recreated RAG spec with retrieval mode
2026-05-06 23:09:56 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [512_32_temp1_2:QueryProcessingActor-0] Reusing existing inference engine (config hash: 776091b8)
2026-05-06 23:09:56 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [512_32_temp1_2:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-06 23:09:56 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [512_32_temp1_2:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-06 23:09:56 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [512_32_temp1_2:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-06 23:09:56 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [512_32_temp1_2:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-06 23:09:56 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [512_32_temp1_2:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-06 23:09:56 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-06 23:09:58 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [512_32_temp1_2:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-06 23:10:04 | QueryProcessingActor-1 | INFO | query_actor.py:169 | [512_32_temp1_2:QueryProcessingActor-1] Reusing existing inference engine (config hash: 776091b8)
2026-05-06 23:10:04 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [512_32_temp1_2:QueryProcessingActor-1] Recreated embedding function: OpenAIEmbeddings
2026-05-06 23:10:04 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [512_32_temp1_2:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-06 23:10:04 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [512_32_temp1_2:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-05-06 23:10:04 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [512_32_temp1_2:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-05-06 23:10:04 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [512_32_temp1_2:QueryProcessingActor-1] Recreated retriever with search_type=similarity
2026-05-06 23:10:05 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-06 23:10:07 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [512_32_temp1_2:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-05-06 23:16:36 | QueryProcessingActor-2 | INFO | query_actor.py:169 | [512_32_temp1_2:QueryProcessingActor-2] Reusing existing inference engine (config hash: 776091b8)
2026-05-06 23:16:36 | QueryProcessingActor-2 | INFO | query_actor.py:198 | [512_32_temp1_2:QueryProcessingActor-2] Recreated embedding function: OpenAIEmbeddings
2026-05-06 23:16:36 | QueryProcessingActor-2 | INFO | query_actor.py:211 | [512_32_temp1_2:QueryProcessingActor-2] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-06 23:16:36 | QueryProcessingActor-2 | INFO | query_actor.py:215 | [512_32_temp1_2:QueryProcessingActor-2] Deserializing FAISS index for this actor...
2026-05-06 23:16:36 | QueryProcessingActor-2 | INFO | query_actor.py:230 | [512_32_temp1_2:QueryProcessingActor-2] Created independent FAISS vector store for this actor
2026-05-06 23:16:36 | QueryProcessingActor-2 | INFO | query_actor.py:260 | [512_32_temp1_2:QueryProcessingActor-2] Recreated retriever with search_type=similarity
2026-05-06 23:16:36 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-06 23:16:38 | QueryProcessingActor-2 | INFO | query_actor.py:277 | [512_32_temp1_2:QueryProcessingActor-2] Recreated RAG spec with retrieval mode
2026-05-06 23:17:11 | QueryProcessingActor-3 | INFO | query_actor.py:169 | [512_32_temp1_2:QueryProcessingActor-3] Reusing existing inference engine (config hash: 776091b8)
2026-05-06 23:17:11 | QueryProcessingActor-3 | INFO | query_actor.py:198 | [512_32_temp1_2:QueryProcessingActor-3] Recreated embedding function: OpenAIEmbeddings
2026-05-06 23:17:11 | QueryProcessingActor-3 | INFO | query_actor.py:211 | [512_32_temp1_2:QueryProcessingActor-3] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-06 23:17:11 | QueryProcessingActor-3 | INFO | query_actor.py:215 | [512_32_temp1_2:QueryProcessingActor-3] Deserializing FAISS index for this actor...
2026-05-06 23:17:11 | QueryProcessingActor-3 | INFO | query_actor.py:230 | [512_32_temp1_2:QueryProcessingActor-3] Created independent FAISS vector store for this actor
2026-05-06 23:17:11 | QueryProcessingActor-3 | INFO | query_actor.py:260 | [512_32_temp1_2:QueryProcessingActor-3] Recreated retriever with search_type=similarity
2026-05-06 23:17:11 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-06 23:17:13 | QueryProcessingActor-3 | INFO | query_actor.py:277 | [512_32_temp1_2:QueryProcessingActor-3] Recreated RAG spec with retrieval mode
2026-05-06 23:19:33 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [512_32_temp1_2:QueryProcessingActor-0] Reusing existing inference engine (config hash: 776091b8)
2026-05-06 23:19:33 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [512_32_temp1_2:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-06 23:19:33 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [512_32_temp1_2:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-06 23:19:33 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [512_32_temp1_2:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-06 23:19:33 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [512_32_temp1_2:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-06 23:19:33 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [512_32_temp1_2:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-06 23:19:33 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-06 23:19:35 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [512_32_temp1_2:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-06 23:19:44 | QueryProcessingActor-1 | INFO | query_actor.py:169 | [512_32_temp1_2:QueryProcessingActor-1] Reusing existing inference engine (config hash: 776091b8)
