2026-05-04 21:29:50 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [temp0.2_512_16:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-04 21:29:50 | Controller | INFO | controller.py:1422 | [temp0.2_512_16:Controller] Scheduling pipeline 2 (Pipeline 2) on actor 1 for shard 0 (1 batches)
2026-05-04 21:29:51 | QueryProcessingActor-1 | INFO | query_actor.py:165 | [temp0.2_512_16:QueryProcessingActor-1] Initializing new inference engine (config hash: 3a5447a3)
2026-05-04 21:29:51 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [temp0.2_512_16:QueryProcessingActor-1] Recreated embedding function: OpenAIEmbeddings
2026-05-04 21:29:51 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [temp0.2_512_16:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-04 21:29:51 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [temp0.2_512_16:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-05-04 21:29:51 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [temp0.2_512_16:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-05-04 21:29:51 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [temp0.2_512_16:QueryProcessingActor-1] Recreated retriever with search_type=similarity
2026-05-04 21:29:51 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-04 21:29:53 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [temp0.2_512_16:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-05-04 21:29:53 | Controller | INFO | controller.py:1422 | [temp0.2_512_16:Controller] Scheduling pipeline 3 (Pipeline 3) on actor 2 for shard 0 (1 batches)
2026-05-04 21:29:53 | QueryProcessingActor-2 | INFO | query_actor.py:165 | [temp0.2_512_16:QueryProcessingActor-2] Initializing new inference engine (config hash: 3a5447a3)
2026-05-04 21:29:53 | QueryProcessingActor-2 | INFO | query_actor.py:198 | [temp0.2_512_16:QueryProcessingActor-2] Recreated embedding function: OpenAIEmbeddings
2026-05-04 21:29:53 | QueryProcessingActor-2 | INFO | query_actor.py:211 | [temp0.2_512_16:QueryProcessingActor-2] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-04 21:29:53 | QueryProcessingActor-2 | INFO | query_actor.py:215 | [temp0.2_512_16:QueryProcessingActor-2] Deserializing FAISS index for this actor...
2026-05-04 21:29:53 | QueryProcessingActor-2 | INFO | query_actor.py:230 | [temp0.2_512_16:QueryProcessingActor-2] Created independent FAISS vector store for this actor
2026-05-04 21:29:53 | QueryProcessingActor-2 | INFO | query_actor.py:260 | [temp0.2_512_16:QueryProcessingActor-2] Recreated retriever with search_type=similarity
2026-05-04 21:29:53 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-04 21:29:55 | QueryProcessingActor-2 | INFO | query_actor.py:277 | [temp0.2_512_16:QueryProcessingActor-2] Recreated RAG spec with retrieval mode
2026-05-04 21:29:55 | Controller | INFO | controller.py:1422 | [temp0.2_512_16:Controller] Scheduling pipeline 4 (Pipeline 4) on actor 3 for shard 0 (1 batches)
2026-05-04 21:29:56 | QueryProcessingActor-3 | INFO | query_actor.py:165 | [temp0.2_512_16:QueryProcessingActor-3] Initializing new inference engine (config hash: 3a5447a3)
2026-05-04 21:29:56 | QueryProcessingActor-3 | INFO | query_actor.py:198 | [temp0.2_512_16:QueryProcessingActor-3] Recreated embedding function: OpenAIEmbeddings
2026-05-04 21:29:56 | QueryProcessingActor-3 | INFO | query_actor.py:211 | [temp0.2_512_16:QueryProcessingActor-3] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-04 21:29:56 | QueryProcessingActor-3 | INFO | query_actor.py:215 | [temp0.2_512_16:QueryProcessingActor-3] Deserializing FAISS index for this actor...
2026-05-04 21:29:56 | QueryProcessingActor-3 | INFO | query_actor.py:230 | [temp0.2_512_16:QueryProcessingActor-3] Created independent FAISS vector store for this actor
2026-05-04 21:29:56 | QueryProcessingActor-3 | INFO | query_actor.py:260 | [temp0.2_512_16:QueryProcessingActor-3] Recreated retriever with search_type=similarity
2026-05-04 21:29:56 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-04 21:29:58 | QueryProcessingActor-3 | INFO | query_actor.py:277 | [temp0.2_512_16:QueryProcessingActor-3] Recreated RAG spec with retrieval mode
