2026-05-02 09:13:56 | DocProcessingActor | INFO | doc_actor.py:144 | [experiment_exploration_chunk_grid_1:DocProcessingActor] FAISS index serialized: 2645644 bytes
2026-05-02 09:13:56 | DocProcessingActor | INFO | doc_actor.py:189 | [experiment_exploration_chunk_grid_1:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-02 09:13:59 | DocProcessingActor | INFO | doc_actor.py:109 | [experiment_exploration_chunk_grid_1:DocProcessingActor] Document index built successfully
2026-05-02 09:13:59 | DocProcessingActor | INFO | doc_actor.py:134 | [experiment_exploration_chunk_grid_1:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-02 09:13:59 | DocProcessingActor | INFO | doc_actor.py:144 | [experiment_exploration_chunk_grid_1:DocProcessingActor] FAISS index serialized: 5672964 bytes
2026-05-02 09:13:59 | DocProcessingActor | INFO | doc_actor.py:189 | [experiment_exploration_chunk_grid_1:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-02 09:13:59 | Controller | INFO | controller.py:482 | [experiment_exploration_chunk_grid_1:Controller] Built context 1 (fc514e3d...) successfully in 39.37s
2026-05-02 09:14:00 | DocProcessingActor | INFO | doc_actor.py:109 | [experiment_exploration_chunk_grid_1:DocProcessingActor] Document index built successfully
2026-05-02 09:14:00 | DocProcessingActor | INFO | doc_actor.py:134 | [experiment_exploration_chunk_grid_1:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-02 09:14:00 | DocProcessingActor | INFO | doc_actor.py:144 | [experiment_exploration_chunk_grid_1:DocProcessingActor] FAISS index serialized: 5753640 bytes
2026-05-02 09:14:00 | DocProcessingActor | INFO | doc_actor.py:189 | [experiment_exploration_chunk_grid_1:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-02 09:14:00 | Controller | INFO | controller.py:482 | [experiment_exploration_chunk_grid_1:Controller] Built context 2 (175206ff...) successfully in 39.54s
2026-05-02 09:14:00 | DocProcessingActor | INFO | doc_actor.py:109 | [experiment_exploration_chunk_grid_1:DocProcessingActor] Document index built successfully
2026-05-02 09:14:00 | DocProcessingActor | INFO | doc_actor.py:134 | [experiment_exploration_chunk_grid_1:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-02 09:14:00 | DocProcessingActor | INFO | doc_actor.py:144 | [experiment_exploration_chunk_grid_1:DocProcessingActor] FAISS index serialized: 6271072 bytes
2026-05-02 09:14:00 | DocProcessingActor | INFO | doc_actor.py:189 | [experiment_exploration_chunk_grid_1:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-02 09:14:00 | Controller | INFO | controller.py:482 | [experiment_exploration_chunk_grid_1:Controller] Built context 3 (b067026c...) successfully in 40.11s
2026-05-02 09:14:00 | Controller | INFO | controller.py:482 | [experiment_exploration_chunk_grid_1:Controller] Built context 4 (86fde9c0...) successfully in 40.13s
2026-05-02 09:14:20 | DocProcessingActor | INFO | doc_actor.py:59 | [experiment_exploration_chunk_grid_1:DocProcessingActor] DocProcessingActor initialized
2026-05-02 09:14:20 | DocProcessingActor | INFO | doc_actor.py:59 | [experiment_exploration_chunk_grid_1:DocProcessingActor] DocProcessingActor initialized
2026-05-02 09:14:20 | DocProcessingActor | INFO | doc_actor.py:59 | [experiment_exploration_chunk_grid_1:DocProcessingActor] DocProcessingActor initialized
2026-05-02 09:14:21 | DocProcessingActor | INFO | doc_actor.py:59 | [experiment_exploration_chunk_grid_1:DocProcessingActor] DocProcessingActor initialized
2026-05-02 09:14:22 | DocProcessingActor | INFO | doc_actor.py:96 | [experiment_exploration_chunk_grid_1:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-02 09:14:22 | DocProcessingActor | INFO | doc_actor.py:107 | [experiment_exploration_chunk_grid_1:DocProcessingActor] Building document index...
2026-05-02 09:14:22 | DocProcessingActor | INFO | doc_actor.py:96 | [experiment_exploration_chunk_grid_1:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-02 09:14:22 | DocProcessingActor | INFO | doc_actor.py:107 | [experiment_exploration_chunk_grid_1:DocProcessingActor] Building document index...
2026-05-02 09:14:22 | DocProcessingActor | INFO | doc_actor.py:96 | [experiment_exploration_chunk_grid_1:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-02 09:14:22 | DocProcessingActor | INFO | doc_actor.py:107 | [experiment_exploration_chunk_grid_1:DocProcessingActor] Building document index...
2026-05-02 09:14:22 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-02 09:14:22 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-02 09:14:22 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-02 09:14:23 | DocProcessingActor | INFO | doc_actor.py:96 | [experiment_exploration_chunk_grid_1:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-02 09:14:23 | DocProcessingActor | INFO | doc_actor.py:107 | [experiment_exploration_chunk_grid_1:DocProcessingActor] Building document index...
2026-05-02 09:14:24 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-02 09:14:28 | DocProcessingActor | INFO | doc_actor.py:109 | [experiment_exploration_chunk_grid_1:DocProcessingActor] Document index built successfully
2026-05-02 09:14:28 | DocProcessingActor | INFO | doc_actor.py:134 | [experiment_exploration_chunk_grid_1:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-02 09:14:28 | DocProcessingActor | INFO | doc_actor.py:144 | [experiment_exploration_chunk_grid_1:DocProcessingActor] FAISS index serialized: 1251040 bytes
2026-05-02 09:14:28 | DocProcessingActor | INFO | doc_actor.py:189 | [experiment_exploration_chunk_grid_1:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-02 09:14:29 | DocProcessingActor | INFO | doc_actor.py:109 | [experiment_exploration_chunk_grid_1:DocProcessingActor] Document index built successfully
2026-05-02 09:14:29 | DocProcessingActor | INFO | doc_actor.py:134 | [experiment_exploration_chunk_grid_1:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-02 09:14:29 | DocProcessingActor | INFO | doc_actor.py:144 | [experiment_exploration_chunk_grid_1:DocProcessingActor] FAISS index serialized: 1246804 bytes
2026-05-02 09:14:29 | DocProcessingActor | INFO | doc_actor.py:189 | [experiment_exploration_chunk_grid_1:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-02 09:14:30 | DocProcessingActor | INFO | doc_actor.py:109 | [experiment_exploration_chunk_grid_1:DocProcessingActor] Document index built successfully
2026-05-02 09:14:30 | DocProcessingActor | INFO | doc_actor.py:134 | [experiment_exploration_chunk_grid_1:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-02 09:14:30 | DocProcessingActor | INFO | doc_actor.py:144 | [experiment_exploration_chunk_grid_1:DocProcessingActor] FAISS index serialized: 2654116 bytes
2026-05-02 09:14:30 | DocProcessingActor | INFO | doc_actor.py:189 | [experiment_exploration_chunk_grid_1:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-02 09:17:23 | ExperimentUtils | INFO | experiment_utils.py:180 | [experiment_exploration_chunk_grid_1:ExperimentUtils] Reset experiment states - marked ongoing pipelines, contexts, and tasks as failed
2026-05-02 09:17:23 | ExperimentUtils | INFO | experiment_utils.py:188 | [experiment_exploration_chunk_grid_1:ExperimentUtils] Experiment marked as cancelled. Ongoing pipelines, contexts, and tasks have been marked as failed.
2026-05-02 09:17:23 | ExperimentUtils | INFO | experiment_utils.py:154 | [experiment_exploration_chunk_grid_1:ExperimentUtils] Experiment experiment_exploration_chunk_grid_1 ended
2026-05-02 09:17:23 | Experiment | INFO | experiment.py:165 | [experiment_exploration_chunk_grid_2:Experiment] The previously running experiment experiment_exploration_chunk_grid_1 was forcibly ended. Created a new experiment 'experiment_exploration_chunk_grid_2' with Experiment ID: 31 at /home/ostran/rapidfireai/rapidfire_experiments/experiment_exploration_chunk_grid_2
2026-05-02 09:17:41 | Experiment | INFO | metric_rfmetric_manager.py:55 | [experiment_exploration_chunk_grid_2:Experiment] Initialized MLflowMetricLogger: rf_mlflow
2026-05-02 09:17:41 | Experiment | INFO | metric_rfmetric_manager.py:119 | [experiment_exploration_chunk_grid_2:Experiment] Creating MLflow experiment: experiment_exploration_chunk_grid_2
2026-05-02 09:17:41 | Experiment | INFO | experiment.py:210 | [experiment_exploration_chunk_grid_2:Experiment] Initialized MetricLogger experiment: 28
2026-05-02 09:17:41 | Experiment | INFO | experiment.py:226 | [experiment_exploration_chunk_grid_2:Experiment] Using existing dispatcher/api server at 127.0.0.1:8851.
2026-05-02 09:17:43 | Experiment | WARNING | experiment.py:381 | [experiment_exploration_chunk_grid_2:Experiment] No GPUs available. Be sure to use external APIs for inference.
2026-05-02 09:17:43 | Experiment | INFO | experiment.py:383 | [experiment_exploration_chunk_grid_2:Experiment] Running multi-config experiment with 4 shard(s), (0.0 GPUs per actor, 8.0 CPUs per actor, 4 actors)
2026-05-02 09:17:43 | Experiment | INFO | experiment.py:392 | [experiment_exploration_chunk_grid_2:Experiment] Reset states of existing pipelines/contexts/tasks (marked as failed)
2026-05-02 09:17:44 | Controller | INFO | controller.py:895 | [experiment_exploration_chunk_grid_2:Controller] Dataset sharded into 4 shard(s). Shard sizes: [12, 11, 11, 11]
2026-05-02 09:17:44 | Controller | INFO | controller.py:900 | [experiment_exploration_chunk_grid_2:Controller] Received 36 pipeline configuration(s)
2026-05-02 09:17:44 | Controller | INFO | controller.py:309 | [experiment_exploration_chunk_grid_2:Controller] Found 9 unique RAG context(s)
2026-05-02 09:17:44 | Controller | INFO | controller.py:320 | [experiment_exploration_chunk_grid_2:Controller] Will build new context 5036945b...
2026-05-02 09:17:44 | Controller | INFO | controller.py:320 | [experiment_exploration_chunk_grid_2:Controller] Will build new context 871eba7d...
2026-05-02 09:17:44 | Controller | INFO | controller.py:320 | [experiment_exploration_chunk_grid_2:Controller] Will build new context 784a7293...
2026-05-02 09:17:44 | Controller | INFO | controller.py:320 | [experiment_exploration_chunk_grid_2:Controller] Will build new context 4c64645b...
2026-05-02 09:17:44 | Controller | INFO | controller.py:320 | [experiment_exploration_chunk_grid_2:Controller] Will build new context 8e6a95ca...
2026-05-02 09:17:44 | Controller | INFO | controller.py:320 | [experiment_exploration_chunk_grid_2:Controller] Will build new context b0b7590a...
2026-05-02 09:17:44 | Controller | INFO | controller.py:320 | [experiment_exploration_chunk_grid_2:Controller] Will build new context 10e8e511...
