2026-05-01 18:04:26 | Controller | INFO | controller.py:1299 | [exp1-sourcedocs-full-evaluation3_4:Controller] Pipeline 1 completed shard 3 (1 batches, 511.63s)
2026-05-01 18:04:26 | Controller | INFO | controller.py:1386 | [exp1-sourcedocs-full-evaluation3_4:Controller] All pipelines completed all shards!
2026-05-01 18:04:26 | Controller | INFO | controller.py:695 | [exp1-sourcedocs-full-evaluation3_4:Controller] Computing final metrics for all pipelines...
2026-05-01 18:04:26 | Experiment | INFO | metric_rfmetric_manager.py:190 | [exp1-sourcedocs-full-evaluation3_4:Experiment] Ending run: 9759537dc9b8423b8e822c59cb0f5e0f, 1 in rf_mlflow
2026-05-01 18:04:26 | Experiment | WARNING | metric_mlflow_manager.py:101 | [exp1-sourcedocs-full-evaluation3_4:Experiment] Run 9759537dc9b8423b8e822c59cb0f5e0f is not the active run, no local context to clear
2026-05-01 18:04:26 | Controller | INFO | controller.py:853 | [exp1-sourcedocs-full-evaluation3_4:Controller] Pipeline 1 (Pipeline 1) completed successfully
2026-05-01 18:04:26 | ExperimentUtils | INFO | experiment_utils.py:180 | [exp1-sourcedocs-full-evaluation3_4:ExperimentUtils] Reset experiment states - marked ongoing pipelines, contexts, and tasks as failed
2026-05-01 18:04:26 | ExperimentUtils | INFO | experiment_utils.py:188 | [exp1-sourcedocs-full-evaluation3_4:ExperimentUtils] Experiment marked as cancelled. Ongoing pipelines, contexts, and tasks have been marked as failed.
2026-05-01 18:04:26 | ExperimentUtils | INFO | experiment_utils.py:154 | [exp1-sourcedocs-full-evaluation3_4:ExperimentUtils] Experiment exp1-sourcedocs-full-evaluation3_4 ended
2026-05-01 18:04:29 | Experiment | INFO | experiment.py:574 | [exp1-sourcedocs-full-evaluation3_4:Experiment] All actors shut down
2026-05-01 18:04:29 | Experiment | INFO | experiment.py:575 | [exp1-sourcedocs-full-evaluation3_4:Experiment] Dispatcher will automatically shut down (daemon thread)
