2026-05-02 00:01:51 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [experiment_exploration_1:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-02 00:01:51 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [experiment_exploration_1:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-02 00:01:51 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-02 00:01:52 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [experiment_exploration_1:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-02 00:01:52 | Controller | INFO | controller.py:1422 | [experiment_exploration_1:Controller] Scheduling pipeline 2 (Pipeline 2) on actor 1 for shard 0 (1 batches)
2026-05-02 00:01:52 | QueryProcessingActor-1 | INFO | query_actor.py:165 | [experiment_exploration_1:QueryProcessingActor-1] Initializing new inference engine (config hash: 09bdf225)
2026-05-02 00:01:52 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-05-02 00:01:54 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [experiment_exploration_1:QueryProcessingActor-1] Recreated embedding function: HuggingFaceEmbeddings
2026-05-02 00:01:54 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [experiment_exploration_1:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-02 00:01:54 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [experiment_exploration_1:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-05-02 00:01:54 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [experiment_exploration_1:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-05-02 00:01:54 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [experiment_exploration_1:QueryProcessingActor-1] Recreated retriever with search_type=similarity
2026-05-02 00:01:54 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
