2026-05-01 11:15:42 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-05-01 11:15:44 | QueryProcessingActor-2 | INFO | query_actor.py:198 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-2] Recreated embedding function: HuggingFaceEmbeddings
2026-05-01 11:15:44 | QueryProcessingActor-2 | INFO | query_actor.py:211 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-2] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-01 11:15:44 | QueryProcessingActor-2 | INFO | query_actor.py:215 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-2] Deserializing FAISS index for this actor...
2026-05-01 11:15:44 | QueryProcessingActor-2 | INFO | query_actor.py:230 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-2] Created independent FAISS vector store for this actor
2026-05-01 11:15:44 | QueryProcessingActor-2 | INFO | query_actor.py:260 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-2] Recreated retriever with search_type=mmr
2026-05-01 11:15:44 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-01 11:15:45 | QueryProcessingActor-2 | INFO | query_actor.py:277 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-2] Recreated RAG spec with retrieval mode
2026-05-01 11:15:45 | QueryProcessingActor-3 | INFO | query_actor.py:165 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-3] Initializing new inference engine (config hash: 1503b7c0)
2026-05-01 11:15:46 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-05-01 11:15:47 | QueryProcessingActor-3 | INFO | query_actor.py:198 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-3] Recreated embedding function: HuggingFaceEmbeddings
2026-05-01 11:15:47 | QueryProcessingActor-3 | INFO | query_actor.py:211 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-3] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-01 11:15:47 | QueryProcessingActor-3 | INFO | query_actor.py:215 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-3] Deserializing FAISS index for this actor...
2026-05-01 11:15:47 | QueryProcessingActor-3 | INFO | query_actor.py:230 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-3] Created independent FAISS vector store for this actor
2026-05-01 11:15:47 | QueryProcessingActor-3 | INFO | query_actor.py:260 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-3] Recreated retriever with search_type=mmr
2026-05-01 11:15:47 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-01 11:15:49 | QueryProcessingActor-3 | INFO | query_actor.py:277 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-3] Recreated RAG spec with retrieval mode
2026-05-01 11:18:57 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-0] Reusing existing inference engine (config hash: 1503b7c0)
2026-05-01 11:18:57 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-05-01 11:18:59 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-0] Recreated embedding function: HuggingFaceEmbeddings
2026-05-01 11:18:59 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-01 11:18:59 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-01 11:18:59 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-01 11:18:59 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-0] Recreated retriever with search_type=similarity_score_threshold
2026-05-01 11:18:59 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-01 11:19:00 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-01 11:23:22 | QueryProcessingActor-2 | INFO | query_actor.py:169 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-2] Reusing existing inference engine (config hash: 1503b7c0)
2026-05-01 11:23:23 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-05-01 11:23:24 | QueryProcessingActor-2 | INFO | query_actor.py:198 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-2] Recreated embedding function: HuggingFaceEmbeddings
2026-05-01 11:23:24 | QueryProcessingActor-2 | INFO | query_actor.py:211 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-2] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-01 11:23:24 | QueryProcessingActor-2 | INFO | query_actor.py:215 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-2] Deserializing FAISS index for this actor...
2026-05-01 11:23:24 | QueryProcessingActor-2 | INFO | query_actor.py:230 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-2] Created independent FAISS vector store for this actor
2026-05-01 11:23:24 | QueryProcessingActor-2 | INFO | query_actor.py:260 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-2] Recreated retriever with search_type=similarity_score_threshold
2026-05-01 11:23:24 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-01 11:23:26 | QueryProcessingActor-2 | INFO | query_actor.py:277 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-2] Recreated RAG spec with retrieval mode
2026-05-01 11:25:18 | QueryProcessingActor-1 | INFO | query_actor.py:169 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-1] Reusing existing inference engine (config hash: 1503b7c0)
2026-05-01 11:25:18 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-1] Recreated embedding function: OpenAIEmbeddings
2026-05-01 11:25:18 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-01 11:25:18 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-05-01 11:25:18 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [exp1-sourcedocs-full-evaluation3_11:QueryProcessingActor-1] Created independent FAISS vector store for this actor
