2026-05-07 21:25:41 | Experiment | INFO | metric_rfmetric_manager.py:141 | [otran_aliang_final_config_ws:Experiment] Created MLflow run: 852a3280377a40c99eece46f348de3f8, 6
2026-05-07 21:25:41 | Experiment | INFO | metric_rfmetric_manager.py:141 | [otran_aliang_final_config_ws:Experiment] Created MLflow run: f332b8fc5f5d4b2e86a12af0b9222fb7, 7
2026-05-07 21:25:41 | Experiment | INFO | metric_rfmetric_manager.py:141 | [otran_aliang_final_config_ws:Experiment] Created MLflow run: 38809c4db1f64b43bd0d4c2e7446b8c3, 8
2026-05-07 21:25:41 | Controller | INFO | controller.py:931 | [otran_aliang_final_config_ws:Controller] Initialized scheduler with 8 pipelines, 4 actors, 4 shards
2026-05-07 21:25:41 | Controller | INFO | controller.py:1118 | [otran_aliang_final_config_ws:Controller] Created experiment-wide rate limiter actor for 8 OpenAI pipeline(s) with per-model limits (api-gpt-oss-120b: 60 RPM, 500000 TPM)
2026-05-07 21:25:41 | Controller | INFO | controller.py:1124 | [otran_aliang_final_config_ws:Controller] Starting multi-pipeline inference scheduling...
2026-05-07 21:25:41 | Controller | INFO | controller.py:1422 | [otran_aliang_final_config_ws:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 0 (1 batches)
2026-05-07 21:26:03 | QueryProcessingActor-0 | INFO | query_actor.py:165 | [otran_aliang_final_config_ws:QueryProcessingActor-0] Initializing new inference engine (config hash: 64cb8bc2)
2026-05-07 21:26:03 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [otran_aliang_final_config_ws:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-07 21:26:03 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [otran_aliang_final_config_ws:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 21:26:03 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [otran_aliang_final_config_ws:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-07 21:26:03 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [otran_aliang_final_config_ws:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-07 21:26:03 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [otran_aliang_final_config_ws:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-07 21:26:03 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 21:26:06 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [otran_aliang_final_config_ws:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-07 21:26:06 | Controller | INFO | controller.py:1422 | [otran_aliang_final_config_ws:Controller] Scheduling pipeline 2 (Pipeline 2) on actor 1 for shard 0 (1 batches)
2026-05-07 21:26:06 | QueryProcessingActor-1 | INFO | query_actor.py:165 | [otran_aliang_final_config_ws:QueryProcessingActor-1] Initializing new inference engine (config hash: 64cb8bc2)
2026-05-07 21:26:06 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [otran_aliang_final_config_ws:QueryProcessingActor-1] Recreated embedding function: OpenAIEmbeddings
2026-05-07 21:26:06 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [otran_aliang_final_config_ws:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 21:26:06 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [otran_aliang_final_config_ws:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-05-07 21:26:06 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [otran_aliang_final_config_ws:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-05-07 21:26:06 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [otran_aliang_final_config_ws:QueryProcessingActor-1] Recreated retriever with search_type=similarity
2026-05-07 21:26:07 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 21:26:09 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [otran_aliang_final_config_ws:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-05-07 21:26:09 | Controller | INFO | controller.py:1422 | [otran_aliang_final_config_ws:Controller] Scheduling pipeline 3 (Pipeline 3) on actor 2 for shard 0 (1 batches)
2026-05-07 21:26:09 | QueryProcessingActor-2 | INFO | query_actor.py:165 | [otran_aliang_final_config_ws:QueryProcessingActor-2] Initializing new inference engine (config hash: 64cb8bc2)
2026-05-07 21:26:09 | QueryProcessingActor-2 | INFO | query_actor.py:198 | [otran_aliang_final_config_ws:QueryProcessingActor-2] Recreated embedding function: OpenAIEmbeddings
2026-05-07 21:26:09 | QueryProcessingActor-2 | INFO | query_actor.py:211 | [otran_aliang_final_config_ws:QueryProcessingActor-2] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 21:26:09 | QueryProcessingActor-2 | INFO | query_actor.py:215 | [otran_aliang_final_config_ws:QueryProcessingActor-2] Deserializing FAISS index for this actor...
2026-05-07 21:26:09 | QueryProcessingActor-2 | INFO | query_actor.py:230 | [otran_aliang_final_config_ws:QueryProcessingActor-2] Created independent FAISS vector store for this actor
2026-05-07 21:26:09 | QueryProcessingActor-2 | INFO | query_actor.py:260 | [otran_aliang_final_config_ws:QueryProcessingActor-2] Recreated retriever with search_type=similarity
2026-05-07 21:26:09 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 21:26:11 | QueryProcessingActor-2 | INFO | query_actor.py:277 | [otran_aliang_final_config_ws:QueryProcessingActor-2] Recreated RAG spec with retrieval mode
2026-05-07 21:26:11 | Controller | INFO | controller.py:1422 | [otran_aliang_final_config_ws:Controller] Scheduling pipeline 4 (Pipeline 4) on actor 3 for shard 0 (1 batches)
2026-05-07 21:26:11 | QueryProcessingActor-3 | INFO | query_actor.py:165 | [otran_aliang_final_config_ws:QueryProcessingActor-3] Initializing new inference engine (config hash: 64cb8bc2)
2026-05-07 21:26:11 | QueryProcessingActor-3 | INFO | query_actor.py:198 | [otran_aliang_final_config_ws:QueryProcessingActor-3] Recreated embedding function: OpenAIEmbeddings
2026-05-07 21:26:11 | QueryProcessingActor-3 | INFO | query_actor.py:211 | [otran_aliang_final_config_ws:QueryProcessingActor-3] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 21:26:11 | QueryProcessingActor-3 | INFO | query_actor.py:215 | [otran_aliang_final_config_ws:QueryProcessingActor-3] Deserializing FAISS index for this actor...
2026-05-07 21:26:11 | QueryProcessingActor-3 | INFO | query_actor.py:230 | [otran_aliang_final_config_ws:QueryProcessingActor-3] Created independent FAISS vector store for this actor
2026-05-07 21:26:11 | QueryProcessingActor-3 | INFO | query_actor.py:260 | [otran_aliang_final_config_ws:QueryProcessingActor-3] Recreated retriever with search_type=similarity
2026-05-07 21:26:12 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 21:26:14 | QueryProcessingActor-3 | INFO | query_actor.py:277 | [otran_aliang_final_config_ws:QueryProcessingActor-3] Recreated RAG spec with retrieval mode
2026-05-07 21:28:56 | Controller | INFO | controller.py:1299 | [otran_aliang_final_config_ws:Controller] Pipeline 1 completed shard 0 (1 batches, 170.03s)
2026-05-07 21:28:56 | Controller | INFO | controller.py:1422 | [otran_aliang_final_config_ws:Controller] Scheduling pipeline 5 (Pipeline 5) on actor 0 for shard 0 (1 batches)
2026-05-07 21:28:56 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [otran_aliang_final_config_ws:QueryProcessingActor-0] Reusing existing inference engine (config hash: 64cb8bc2)
2026-05-07 21:28:56 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [otran_aliang_final_config_ws:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-07 21:28:56 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [otran_aliang_final_config_ws:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 21:28:56 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [otran_aliang_final_config_ws:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-07 21:28:56 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [otran_aliang_final_config_ws:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-07 21:28:56 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [otran_aliang_final_config_ws:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-07 21:28:56 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 21:28:59 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [otran_aliang_final_config_ws:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-07 21:29:02 | Controller | INFO | controller.py:1299 | [otran_aliang_final_config_ws:Controller] Pipeline 2 completed shard 0 (1 batches, 172.91s)
2026-05-07 21:29:02 | Controller | INFO | controller.py:1422 | [otran_aliang_final_config_ws:Controller] Scheduling pipeline 6 (Pipeline 6) on actor 1 for shard 0 (1 batches)
2026-05-07 21:29:02 | QueryProcessingActor-1 | INFO | query_actor.py:169 | [otran_aliang_final_config_ws:QueryProcessingActor-1] Reusing existing inference engine (config hash: 64cb8bc2)
2026-05-07 21:29:02 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [otran_aliang_final_config_ws:QueryProcessingActor-1] Recreated embedding function: OpenAIEmbeddings
2026-05-07 21:29:02 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [otran_aliang_final_config_ws:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 21:29:02 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [otran_aliang_final_config_ws:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-05-07 21:29:02 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [otran_aliang_final_config_ws:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-05-07 21:29:02 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [otran_aliang_final_config_ws:QueryProcessingActor-1] Recreated retriever with search_type=similarity
2026-05-07 21:29:02 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 21:29:04 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [otran_aliang_final_config_ws:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-05-07 21:29:36 | Controller | INFO | controller.py:1299 | [otran_aliang_final_config_ws:Controller] Pipeline 3 completed shard 0 (1 batches, 204.23s)
2026-05-07 21:29:36 | Controller | INFO | controller.py:1422 | [otran_aliang_final_config_ws:Controller] Scheduling pipeline 7 (Pipeline 7) on actor 2 for shard 0 (1 batches)
2026-05-07 21:29:36 | QueryProcessingActor-2 | INFO | query_actor.py:169 | [otran_aliang_final_config_ws:QueryProcessingActor-2] Reusing existing inference engine (config hash: 64cb8bc2)
2026-05-07 21:29:36 | QueryProcessingActor-2 | INFO | query_actor.py:198 | [otran_aliang_final_config_ws:QueryProcessingActor-2] Recreated embedding function: OpenAIEmbeddings
2026-05-07 21:29:36 | QueryProcessingActor-2 | INFO | query_actor.py:211 | [otran_aliang_final_config_ws:QueryProcessingActor-2] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 21:29:36 | QueryProcessingActor-2 | INFO | query_actor.py:215 | [otran_aliang_final_config_ws:QueryProcessingActor-2] Deserializing FAISS index for this actor...
2026-05-07 21:29:36 | QueryProcessingActor-2 | INFO | query_actor.py:230 | [otran_aliang_final_config_ws:QueryProcessingActor-2] Created independent FAISS vector store for this actor
2026-05-07 21:29:36 | QueryProcessingActor-2 | INFO | query_actor.py:260 | [otran_aliang_final_config_ws:QueryProcessingActor-2] Recreated retriever with search_type=similarity
2026-05-07 21:29:36 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 21:29:38 | QueryProcessingActor-2 | INFO | query_actor.py:277 | [otran_aliang_final_config_ws:QueryProcessingActor-2] Recreated RAG spec with retrieval mode
2026-05-07 21:29:46 | Controller | INFO | controller.py:1299 | [otran_aliang_final_config_ws:Controller] Pipeline 4 completed shard 0 (1 batches, 211.28s)
2026-05-07 21:29:46 | Controller | INFO | controller.py:1422 | [otran_aliang_final_config_ws:Controller] Scheduling pipeline 8 (Pipeline 8) on actor 3 for shard 0 (1 batches)
2026-05-07 21:29:46 | QueryProcessingActor-3 | INFO | query_actor.py:169 | [otran_aliang_final_config_ws:QueryProcessingActor-3] Reusing existing inference engine (config hash: 64cb8bc2)
2026-05-07 21:29:46 | QueryProcessingActor-3 | INFO | query_actor.py:198 | [otran_aliang_final_config_ws:QueryProcessingActor-3] Recreated embedding function: OpenAIEmbeddings
2026-05-07 21:29:46 | QueryProcessingActor-3 | INFO | query_actor.py:211 | [otran_aliang_final_config_ws:QueryProcessingActor-3] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 21:29:46 | QueryProcessingActor-3 | INFO | query_actor.py:215 | [otran_aliang_final_config_ws:QueryProcessingActor-3] Deserializing FAISS index for this actor...
2026-05-07 21:29:46 | QueryProcessingActor-3 | INFO | query_actor.py:230 | [otran_aliang_final_config_ws:QueryProcessingActor-3] Created independent FAISS vector store for this actor
2026-05-07 21:29:46 | QueryProcessingActor-3 | INFO | query_actor.py:260 | [otran_aliang_final_config_ws:QueryProcessingActor-3] Recreated retriever with search_type=similarity
2026-05-07 21:29:46 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 21:29:48 | QueryProcessingActor-3 | INFO | query_actor.py:277 | [otran_aliang_final_config_ws:QueryProcessingActor-3] Recreated RAG spec with retrieval mode
2026-05-07 21:40:52 | Controller | INFO | controller.py:1299 | [otran_aliang_final_config_ws:Controller] Pipeline 5 completed shard 0 (1 batches, 712.87s)
2026-05-07 21:40:52 | Controller | INFO | controller.py:1422 | [otran_aliang_final_config_ws:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 1 (1 batches)
2026-05-07 21:40:52 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [otran_aliang_final_config_ws:QueryProcessingActor-0] Reusing existing inference engine (config hash: 64cb8bc2)
2026-05-07 21:40:52 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [otran_aliang_final_config_ws:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-07 21:40:52 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [otran_aliang_final_config_ws:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 21:40:52 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [otran_aliang_final_config_ws:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-07 21:40:52 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [otran_aliang_final_config_ws:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-07 21:40:52 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [otran_aliang_final_config_ws:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-07 21:40:52 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
