2026-05-03 19:35:51 | Experiment | INFO | metric_rfmetric_manager.py:141 | [experiment_exploration_fixed_chunking:Experiment] Created MLflow run: 84289cc4ca8248e89a7174e43f3108bd, 4
2026-05-03 19:35:51 | Experiment | INFO | metric_rfmetric_manager.py:141 | [experiment_exploration_fixed_chunking:Experiment] Created MLflow run: b99b3f7a2a504b9eb523f0e58f991a32, 5
2026-05-03 19:35:51 | Experiment | INFO | metric_rfmetric_manager.py:141 | [experiment_exploration_fixed_chunking:Experiment] Created MLflow run: 0baa72786d924a03aedcab24af018ee6, 6
2026-05-03 19:35:51 | Experiment | INFO | metric_rfmetric_manager.py:141 | [experiment_exploration_fixed_chunking:Experiment] Created MLflow run: b8172f75b07b41a9bf8918108af962fb, 7
2026-05-03 19:35:51 | Experiment | INFO | metric_rfmetric_manager.py:141 | [experiment_exploration_fixed_chunking:Experiment] Created MLflow run: 6bc078e8aa054daf8d8483d55e4dc6a7, 8
2026-05-03 19:35:51 | Controller | INFO | controller.py:931 | [experiment_exploration_fixed_chunking:Controller] Initialized scheduler with 8 pipelines, 4 actors, 4 shards
2026-05-03 19:35:51 | Controller | INFO | controller.py:1118 | [experiment_exploration_fixed_chunking:Controller] Created experiment-wide rate limiter actor for 8 OpenAI pipeline(s) with per-model limits (api-mistral-small-3.2-2506: 120 RPM, 1000000 TPM)
2026-05-03 19:35:51 | Controller | INFO | controller.py:1124 | [experiment_exploration_fixed_chunking:Controller] Starting multi-pipeline inference scheduling...
2026-05-03 19:35:51 | Controller | INFO | controller.py:1422 | [experiment_exploration_fixed_chunking:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 0 (1 batches)
2026-05-03 19:36:13 | QueryProcessingActor-0 | INFO | query_actor.py:165 | [experiment_exploration_fixed_chunking:QueryProcessingActor-0] Initializing new inference engine (config hash: ebefcdb1)
2026-05-03 19:36:13 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [experiment_exploration_fixed_chunking:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-03 19:36:13 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [experiment_exploration_fixed_chunking:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-03 19:36:13 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [experiment_exploration_fixed_chunking:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-03 19:36:13 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [experiment_exploration_fixed_chunking:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-03 19:36:13 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [experiment_exploration_fixed_chunking:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-03 19:36:13 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-03 19:36:15 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [experiment_exploration_fixed_chunking:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-03 19:36:15 | Controller | INFO | controller.py:1422 | [experiment_exploration_fixed_chunking:Controller] Scheduling pipeline 2 (Pipeline 2) on actor 1 for shard 0 (1 batches)
2026-05-03 19:36:15 | QueryProcessingActor-1 | INFO | query_actor.py:165 | [experiment_exploration_fixed_chunking:QueryProcessingActor-1] Initializing new inference engine (config hash: ebefcdb1)
2026-05-03 19:36:15 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [experiment_exploration_fixed_chunking:QueryProcessingActor-1] Recreated embedding function: OpenAIEmbeddings
2026-05-03 19:36:15 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [experiment_exploration_fixed_chunking:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-03 19:36:15 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [experiment_exploration_fixed_chunking:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-05-03 19:36:15 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [experiment_exploration_fixed_chunking:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-05-03 19:36:15 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [experiment_exploration_fixed_chunking:QueryProcessingActor-1] Recreated retriever with search_type=similarity
2026-05-03 19:36:15 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-03 19:36:17 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [experiment_exploration_fixed_chunking:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-05-03 19:36:17 | Controller | INFO | controller.py:1422 | [experiment_exploration_fixed_chunking:Controller] Scheduling pipeline 3 (Pipeline 3) on actor 2 for shard 0 (1 batches)
2026-05-03 19:36:18 | QueryProcessingActor-2 | INFO | query_actor.py:165 | [experiment_exploration_fixed_chunking:QueryProcessingActor-2] Initializing new inference engine (config hash: ebefcdb1)
2026-05-03 19:36:18 | QueryProcessingActor-2 | INFO | query_actor.py:198 | [experiment_exploration_fixed_chunking:QueryProcessingActor-2] Recreated embedding function: OpenAIEmbeddings
2026-05-03 19:36:18 | QueryProcessingActor-2 | INFO | query_actor.py:211 | [experiment_exploration_fixed_chunking:QueryProcessingActor-2] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-03 19:36:18 | QueryProcessingActor-2 | INFO | query_actor.py:215 | [experiment_exploration_fixed_chunking:QueryProcessingActor-2] Deserializing FAISS index for this actor...
2026-05-03 19:36:18 | QueryProcessingActor-2 | INFO | query_actor.py:230 | [experiment_exploration_fixed_chunking:QueryProcessingActor-2] Created independent FAISS vector store for this actor
2026-05-03 19:36:18 | QueryProcessingActor-2 | INFO | query_actor.py:260 | [experiment_exploration_fixed_chunking:QueryProcessingActor-2] Recreated retriever with search_type=similarity
2026-05-03 19:36:18 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-03 19:36:20 | QueryProcessingActor-2 | INFO | query_actor.py:277 | [experiment_exploration_fixed_chunking:QueryProcessingActor-2] Recreated RAG spec with retrieval mode
2026-05-03 19:36:20 | Controller | INFO | controller.py:1422 | [experiment_exploration_fixed_chunking:Controller] Scheduling pipeline 4 (Pipeline 4) on actor 3 for shard 0 (1 batches)
