2026-05-07 19:35:02 | Controller | INFO | controller.py:1299 | [otran_aliang_final_configs_1:Controller] Pipeline 1 completed shard 0 (1 batches, 516.27s)
2026-05-07 19:35:02 | Controller | INFO | controller.py:1422 | [otran_aliang_final_configs_1:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 1 (1 batches)
2026-05-07 19:35:02 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [otran_aliang_final_configs_1:QueryProcessingActor-0] Reusing existing inference engine (config hash: 2ae1e3cd)
2026-05-07 19:35:02 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [otran_aliang_final_configs_1:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-07 19:35:02 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [otran_aliang_final_configs_1:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 19:35:02 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [otran_aliang_final_configs_1:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-07 19:35:02 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [otran_aliang_final_configs_1:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-07 19:35:02 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [otran_aliang_final_configs_1:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-07 19:35:02 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 19:35:04 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [otran_aliang_final_configs_1:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-07 19:43:19 | Controller | INFO | controller.py:1299 | [otran_aliang_final_configs_1:Controller] Pipeline 1 completed shard 1 (1 batches, 494.72s)
2026-05-07 19:43:19 | Controller | INFO | controller.py:1422 | [otran_aliang_final_configs_1:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 2 (1 batches)
2026-05-07 19:43:19 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [otran_aliang_final_configs_1:QueryProcessingActor-0] Reusing existing inference engine (config hash: 2ae1e3cd)
2026-05-07 19:43:19 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [otran_aliang_final_configs_1:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-07 19:43:19 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [otran_aliang_final_configs_1:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 19:43:19 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [otran_aliang_final_configs_1:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-07 19:43:19 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [otran_aliang_final_configs_1:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-07 19:43:19 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [otran_aliang_final_configs_1:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-07 19:43:19 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 19:43:21 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [otran_aliang_final_configs_1:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-07 19:51:11 | Controller | INFO | controller.py:1299 | [otran_aliang_final_configs_1:Controller] Pipeline 1 completed shard 2 (1 batches, 470.09s)
2026-05-07 19:51:11 | Controller | INFO | controller.py:1422 | [otran_aliang_final_configs_1:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 3 (1 batches)
