2026-05-01 19:56:09 | Controller | INFO | controller.py:1299 | [experimentOscar_3:Controller] Pipeline 3 completed shard 2 (1 batches, 73.33s)
2026-05-01 19:56:09 | Controller | INFO | controller.py:1422 | [experimentOscar_3:Controller] Scheduling pipeline 3 (Pipeline 3) on actor 2 for shard 3 (1 batches)
2026-05-01 19:56:15 | Controller | INFO | controller.py:1299 | [experimentOscar_3:Controller] Pipeline 1 completed shard 2 (1 batches, 76.55s)
2026-05-01 19:56:15 | Controller | INFO | controller.py:1422 | [experimentOscar_3:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 3 (1 batches)
2026-05-01 19:57:28 | Controller | INFO | controller.py:1192 | [experimentOscar_3:Controller] Pipeline 3 completed all 4 shards
2026-05-01 19:57:28 | Controller | INFO | controller.py:1299 | [experimentOscar_3:Controller] Pipeline 3 completed shard 3 (1 batches, 76.60s)
2026-05-01 19:57:32 | Controller | INFO | controller.py:1192 | [experimentOscar_3:Controller] Pipeline 1 completed all 4 shards
2026-05-01 19:57:32 | Controller | INFO | controller.py:1299 | [experimentOscar_3:Controller] Pipeline 1 completed shard 3 (1 batches, 73.50s)
2026-05-01 20:00:15 | Controller | INFO | controller.py:1299 | [experimentOscar_3:Controller] Pipeline 4 completed shard 0 (1 batches, 472.07s)
2026-05-01 20:00:15 | Controller | INFO | controller.py:1422 | [experimentOscar_3:Controller] Scheduling pipeline 4 (Pipeline 4) on actor 0 for shard 1 (1 batches)
2026-05-01 20:00:33 | Controller | INFO | controller.py:1299 | [experimentOscar_3:Controller] Pipeline 2 completed shard 0 (1 batches, 497.57s)
2026-05-01 20:00:33 | Controller | INFO | controller.py:1422 | [experimentOscar_3:Controller] Scheduling pipeline 2 (Pipeline 2) on actor 1 for shard 1 (1 batches)
2026-05-01 20:06:49 | Controller | INFO | controller.py:1299 | [experimentOscar_3:Controller] Pipeline 4 completed shard 1 (1 batches, 389.70s)
2026-05-01 20:06:49 | Controller | INFO | controller.py:1422 | [experimentOscar_3:Controller] Scheduling pipeline 4 (Pipeline 4) on actor 0 for shard 2 (1 batches)
2026-05-01 20:06:58 | Controller | INFO | controller.py:1299 | [experimentOscar_3:Controller] Pipeline 2 completed shard 1 (1 batches, 380.93s)
2026-05-01 20:06:58 | Controller | INFO | controller.py:1422 | [experimentOscar_3:Controller] Scheduling pipeline 2 (Pipeline 2) on actor 1 for shard 2 (1 batches)
2026-05-01 20:13:19 | Controller | INFO | controller.py:1299 | [experimentOscar_3:Controller] Pipeline 4 completed shard 2 (1 batches, 386.10s)
2026-05-01 20:13:19 | Controller | INFO | controller.py:1422 | [experimentOscar_3:Controller] Scheduling pipeline 4 (Pipeline 4) on actor 0 for shard 3 (1 batches)
2026-05-01 20:13:24 | Controller | INFO | controller.py:1299 | [experimentOscar_3:Controller] Pipeline 2 completed shard 2 (1 batches, 382.00s)
2026-05-01 20:13:24 | Controller | INFO | controller.py:1422 | [experimentOscar_3:Controller] Scheduling pipeline 2 (Pipeline 2) on actor 1 for shard 3 (1 batches)
2026-05-01 20:19:45 | Controller | INFO | controller.py:1192 | [experimentOscar_3:Controller] Pipeline 2 completed all 4 shards
2026-05-01 20:19:46 | Controller | INFO | controller.py:1299 | [experimentOscar_3:Controller] Pipeline 2 completed shard 3 (1 batches, 377.04s)
2026-05-01 20:19:53 | Controller | INFO | controller.py:1192 | [experimentOscar_3:Controller] Pipeline 4 completed all 4 shards
2026-05-01 20:19:53 | Controller | INFO | controller.py:1299 | [experimentOscar_3:Controller] Pipeline 4 completed shard 3 (1 batches, 388.82s)
2026-05-01 20:19:53 | Controller | INFO | controller.py:1386 | [experimentOscar_3:Controller] All pipelines completed all shards!
2026-05-01 20:19:53 | Controller | INFO | controller.py:695 | [experimentOscar_3:Controller] Computing final metrics for all pipelines...
2026-05-01 20:19:53 | Experiment | INFO | metric_rfmetric_manager.py:190 | [experimentOscar_3:Experiment] Ending run: 8caad19ddfcf48bda53ba9064bdd4c84, 1 in rf_mlflow
2026-05-01 20:19:53 | Experiment | WARNING | metric_mlflow_manager.py:101 | [experimentOscar_3:Experiment] Run 8caad19ddfcf48bda53ba9064bdd4c84 is not the active run, no local context to clear
2026-05-01 20:19:53 | Controller | INFO | controller.py:853 | [experimentOscar_3:Controller] Pipeline 1 (Pipeline 1) completed successfully
2026-05-01 20:19:53 | Experiment | INFO | metric_rfmetric_manager.py:190 | [experimentOscar_3:Experiment] Ending run: d18e45d9854149f78a44ab87745b2638, 2 in rf_mlflow
2026-05-01 20:19:53 | Experiment | WARNING | metric_mlflow_manager.py:101 | [experimentOscar_3:Experiment] Run d18e45d9854149f78a44ab87745b2638 is not the active run, no local context to clear
2026-05-01 20:19:53 | Controller | INFO | controller.py:853 | [experimentOscar_3:Controller] Pipeline 2 (Pipeline 2) completed successfully
2026-05-01 20:19:54 | Experiment | INFO | metric_rfmetric_manager.py:190 | [experimentOscar_3:Experiment] Ending run: 6ec7f2f2123043c2bb05129f201791d6, 3 in rf_mlflow
2026-05-01 20:19:54 | Experiment | WARNING | metric_mlflow_manager.py:101 | [experimentOscar_3:Experiment] Run 6ec7f2f2123043c2bb05129f201791d6 is not the active run, no local context to clear
2026-05-01 20:19:54 | Controller | INFO | controller.py:853 | [experimentOscar_3:Controller] Pipeline 3 (Pipeline 3) completed successfully
2026-05-01 20:19:54 | Experiment | INFO | metric_rfmetric_manager.py:190 | [experimentOscar_3:Experiment] Ending run: 26d78ec543df4fca95455cc9115f8c75, 4 in rf_mlflow
2026-05-01 20:19:54 | Experiment | WARNING | metric_mlflow_manager.py:101 | [experimentOscar_3:Experiment] Run 26d78ec543df4fca95455cc9115f8c75 is not the active run, no local context to clear
2026-05-01 20:19:54 | Controller | INFO | controller.py:853 | [experimentOscar_3:Controller] Pipeline 4 (Pipeline 4) completed successfully
2026-05-01 20:19:54 | ExperimentUtils | INFO | experiment_utils.py:180 | [experimentOscar_3:ExperimentUtils] Reset experiment states - marked ongoing pipelines, contexts, and tasks as failed
2026-05-01 20:19:54 | ExperimentUtils | INFO | experiment_utils.py:188 | [experimentOscar_3:ExperimentUtils] Experiment marked as cancelled. Ongoing pipelines, contexts, and tasks have been marked as failed.
2026-05-01 20:19:54 | ExperimentUtils | INFO | experiment_utils.py:154 | [experimentOscar_3:ExperimentUtils] Experiment experimentOscar_3 ended
2026-05-01 20:19:57 | Experiment | INFO | experiment.py:574 | [experimentOscar_3:Experiment] All actors shut down
2026-05-01 20:19:57 | Experiment | INFO | experiment.py:575 | [experimentOscar_3:Experiment] Dispatcher will automatically shut down (daemon thread)
