2026-04-29 23:47:55 | Experiment | INFO | experiment.py:165 | [exp1-sourcedocs-full-evaluation3_3:Experiment] An experiment with the same name already exists. Created a new experiment 'exp1-sourcedocs-full-evaluation3_3' with Experiment ID: 4 at /home/ayliang/rapidfireai/rapidfire_experiments/exp1-sourcedocs-full-evaluation3_3
2026-04-29 23:48:13 | Experiment | INFO | metric_rfmetric_manager.py:55 | [exp1-sourcedocs-full-evaluation3_3:Experiment] Initialized MLflowMetricLogger: rf_mlflow
2026-04-29 23:48:13 | Experiment | INFO | metric_rfmetric_manager.py:119 | [exp1-sourcedocs-full-evaluation3_3:Experiment] Creating MLflow experiment: exp1-sourcedocs-full-evaluation3_3
2026-04-29 23:48:13 | Experiment | INFO | experiment.py:210 | [exp1-sourcedocs-full-evaluation3_3:Experiment] Initialized MetricLogger experiment: 4
2026-04-29 23:48:13 | Experiment | INFO | experiment.py:226 | [exp1-sourcedocs-full-evaluation3_3:Experiment] Using existing dispatcher/api server at 127.0.0.1:8851.
2026-04-29 23:48:14 | Experiment | WARNING | experiment.py:381 | [exp1-sourcedocs-full-evaluation3_3:Experiment] No GPUs available. Be sure to use external APIs for inference.
2026-04-29 23:48:14 | Experiment | INFO | experiment.py:383 | [exp1-sourcedocs-full-evaluation3_3:Experiment] Running multi-config experiment with 4 shard(s), (0.0 GPUs per actor, 8.0 CPUs per actor, 4 actors)
2026-04-29 23:48:14 | Experiment | INFO | experiment.py:392 | [exp1-sourcedocs-full-evaluation3_3:Experiment] Reset states of existing pipelines/contexts/tasks (marked as failed)
2026-04-29 23:48:14 | Controller | INFO | controller.py:895 | [exp1-sourcedocs-full-evaluation3_3:Controller] Dataset sharded into 4 shard(s). Shard sizes: [12, 11, 11, 11]
2026-04-29 23:48:14 | Controller | INFO | controller.py:900 | [exp1-sourcedocs-full-evaluation3_3:Controller] Received 2 pipeline configuration(s)
2026-04-29 23:48:14 | Controller | INFO | controller.py:309 | [exp1-sourcedocs-full-evaluation3_3:Controller] Found 1 unique RAG context(s)
2026-04-29 23:48:14 | Controller | INFO | controller.py:320 | [exp1-sourcedocs-full-evaluation3_3:Controller] Will build new context e8cdbff2...
2026-04-29 23:48:14 | Controller | INFO | controller.py:346 | [exp1-sourcedocs-full-evaluation3_3:Controller] Building 1 context(s) in parallel...
2026-04-29 23:48:14 | Controller | INFO | controller.py:373 | [exp1-sourcedocs-full-evaluation3_3:Controller] Creating 1 DocProcessingActor(s) for parallel processing
2026-04-29 23:48:15 | Controller | INFO | controller.py:461 | [exp1-sourcedocs-full-evaluation3_3:Controller] Submitted 1 build task(s) in parallel
2026-04-29 23:48:36 | DocProcessingActor | INFO | doc_actor.py:59 | [exp1-sourcedocs-full-evaluation3_3:DocProcessingActor] DocProcessingActor initialized
2026-04-29 23:48:37 | DocProcessingActor | INFO | doc_actor.py:96 | [exp1-sourcedocs-full-evaluation3_3:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-04-29 23:48:37 | DocProcessingActor | INFO | doc_actor.py:107 | [exp1-sourcedocs-full-evaluation3_3:DocProcessingActor] Building document index...
2026-04-29 23:48:38 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-04-29 23:48:40 | DocProcessingActor | INFO | doc_actor.py:109 | [exp1-sourcedocs-full-evaluation3_3:DocProcessingActor] Document index built successfully
2026-04-29 23:48:40 | DocProcessingActor | INFO | doc_actor.py:134 | [exp1-sourcedocs-full-evaluation3_3:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-04-29 23:48:40 | DocProcessingActor | INFO | doc_actor.py:144 | [exp1-sourcedocs-full-evaluation3_3:DocProcessingActor] FAISS index serialized: 606720 bytes
2026-04-29 23:48:40 | DocProcessingActor | INFO | doc_actor.py:189 | [exp1-sourcedocs-full-evaluation3_3:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-04-29 23:48:40 | Controller | INFO | controller.py:482 | [exp1-sourcedocs-full-evaluation3_3:Controller] Built context 1 (e8cdbff2...) successfully in 25.58s
2026-04-29 23:48:40 | Controller | INFO | controller.py:523 | [exp1-sourcedocs-full-evaluation3_3:Controller] Completed parallel context building for 1 context(s)
2026-04-29 23:48:40 | Controller | INFO | controller.py:920 | [exp1-sourcedocs-full-evaluation3_3:Controller] Created 4 query processing actors (generic pool)
2026-04-29 23:48:40 | Experiment | INFO | metric_rfmetric_manager.py:141 | [exp1-sourcedocs-full-evaluation3_3:Experiment] Created MLflow run: 7b82f4894bf1479bb691ed30c293e0f3, 1
2026-04-29 23:48:40 | Experiment | INFO | metric_rfmetric_manager.py:141 | [exp1-sourcedocs-full-evaluation3_3:Experiment] Created MLflow run: 931880d5e5384ef2bce0f0edb105fcb8, 2
2026-04-29 23:48:40 | Controller | INFO | controller.py:931 | [exp1-sourcedocs-full-evaluation3_3:Controller] Initialized scheduler with 2 pipelines, 4 actors, 4 shards
2026-04-29 23:48:40 | Controller | INFO | controller.py:1118 | [exp1-sourcedocs-full-evaluation3_3:Controller] Created experiment-wide rate limiter actor for 2 OpenAI pipeline(s) with per-model limits (api-mistral-small-3.2-2506: 120 RPM, 1000000 TPM)
2026-04-29 23:48:40 | Controller | INFO | controller.py:1124 | [exp1-sourcedocs-full-evaluation3_3:Controller] Starting multi-pipeline inference scheduling...
2026-04-29 23:48:40 | Controller | INFO | controller.py:1422 | [exp1-sourcedocs-full-evaluation3_3:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 0 (1 batches)
2026-04-29 23:49:03 | QueryProcessingActor-0 | INFO | query_actor.py:165 | [exp1-sourcedocs-full-evaluation3_3:QueryProcessingActor-0] Initializing new inference engine (config hash: 2779ec37)
2026-04-29 23:49:03 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [exp1-sourcedocs-full-evaluation3_3:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-04-29 23:49:03 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [exp1-sourcedocs-full-evaluation3_3:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-04-29 23:49:03 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [exp1-sourcedocs-full-evaluation3_3:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-04-29 23:49:03 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [exp1-sourcedocs-full-evaluation3_3:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-04-29 23:49:03 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [exp1-sourcedocs-full-evaluation3_3:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-04-29 23:49:03 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-04-29 23:49:05 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [exp1-sourcedocs-full-evaluation3_3:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-04-29 23:49:05 | Controller | INFO | controller.py:1422 | [exp1-sourcedocs-full-evaluation3_3:Controller] Scheduling pipeline 2 (Pipeline 2) on actor 1 for shard 0 (1 batches)
2026-04-29 23:49:05 | QueryProcessingActor-1 | INFO | query_actor.py:165 | [exp1-sourcedocs-full-evaluation3_3:QueryProcessingActor-1] Initializing new inference engine (config hash: 2779ec37)
2026-04-29 23:49:05 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [exp1-sourcedocs-full-evaluation3_3:QueryProcessingActor-1] Recreated embedding function: OpenAIEmbeddings
2026-04-29 23:49:05 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [exp1-sourcedocs-full-evaluation3_3:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-04-29 23:49:05 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [exp1-sourcedocs-full-evaluation3_3:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-04-29 23:49:05 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [exp1-sourcedocs-full-evaluation3_3:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-04-29 23:49:05 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [exp1-sourcedocs-full-evaluation3_3:QueryProcessingActor-1] Recreated retriever with search_type=mmr
2026-04-29 23:49:05 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-04-29 23:49:06 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [exp1-sourcedocs-full-evaluation3_3:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-04-29 23:49:30 | Controller | INFO | controller.py:1299 | [exp1-sourcedocs-full-evaluation3_3:Controller] Pipeline 1 completed shard 0 (1 batches, 24.77s)
2026-04-29 23:49:30 | Controller | INFO | controller.py:1422 | [exp1-sourcedocs-full-evaluation3_3:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 1 (1 batches)
