2026-05-01 22:05:37 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-01 22:05:38 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [experiment_exploration:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-01 22:05:38 | Controller | INFO | controller.py:1422 | [experiment_exploration:Controller] Scheduling pipeline 2 (Pipeline 2) on actor 1 for shard 0 (1 batches)
2026-05-01 22:05:38 | QueryProcessingActor-1 | INFO | query_actor.py:165 | [experiment_exploration:QueryProcessingActor-1] Initializing new inference engine (config hash: bd74b5a8)
2026-05-01 22:05:39 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-05-01 22:05:40 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [experiment_exploration:QueryProcessingActor-1] Recreated embedding function: HuggingFaceEmbeddings
2026-05-01 22:05:40 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [experiment_exploration:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-01 22:05:40 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [experiment_exploration:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-05-01 22:05:40 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [experiment_exploration:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-05-01 22:05:40 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [experiment_exploration:QueryProcessingActor-1] Recreated retriever with search_type=similarity
2026-05-01 22:05:40 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-01 22:05:42 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [experiment_exploration:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-05-01 22:05:42 | Controller | INFO | controller.py:1422 | [experiment_exploration:Controller] Scheduling pipeline 3 (Pipeline 3) on actor 2 for shard 0 (1 batches)
2026-05-01 22:05:43 | QueryProcessingActor-2 | INFO | query_actor.py:165 | [experiment_exploration:QueryProcessingActor-2] Initializing new inference engine (config hash: bd74b5a8)
2026-05-01 22:05:43 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-05-01 22:05:44 | QueryProcessingActor-2 | INFO | query_actor.py:198 | [experiment_exploration:QueryProcessingActor-2] Recreated embedding function: HuggingFaceEmbeddings
2026-05-01 22:05:44 | QueryProcessingActor-2 | INFO | query_actor.py:211 | [experiment_exploration:QueryProcessingActor-2] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-01 22:05:44 | QueryProcessingActor-2 | INFO | query_actor.py:215 | [experiment_exploration:QueryProcessingActor-2] Deserializing FAISS index for this actor...
2026-05-01 22:05:44 | QueryProcessingActor-2 | INFO | query_actor.py:230 | [experiment_exploration:QueryProcessingActor-2] Created independent FAISS vector store for this actor
2026-05-01 22:05:44 | QueryProcessingActor-2 | INFO | query_actor.py:260 | [experiment_exploration:QueryProcessingActor-2] Recreated retriever with search_type=mmr
2026-05-01 22:05:45 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-01 22:05:46 | QueryProcessingActor-2 | INFO | query_actor.py:277 | [experiment_exploration:QueryProcessingActor-2] Recreated RAG spec with retrieval mode
2026-05-01 22:05:46 | Controller | INFO | controller.py:1422 | [experiment_exploration:Controller] Scheduling pipeline 4 (Pipeline 4) on actor 3 for shard 0 (1 batches)
2026-05-01 22:05:46 | QueryProcessingActor-3 | INFO | query_actor.py:165 | [experiment_exploration:QueryProcessingActor-3] Initializing new inference engine (config hash: bd74b5a8)
2026-05-01 22:05:46 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-05-01 22:05:48 | QueryProcessingActor-3 | INFO | query_actor.py:198 | [experiment_exploration:QueryProcessingActor-3] Recreated embedding function: HuggingFaceEmbeddings
2026-05-01 22:05:48 | QueryProcessingActor-3 | INFO | query_actor.py:211 | [experiment_exploration:QueryProcessingActor-3] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-01 22:05:48 | QueryProcessingActor-3 | INFO | query_actor.py:215 | [experiment_exploration:QueryProcessingActor-3] Deserializing FAISS index for this actor...
2026-05-01 22:05:48 | QueryProcessingActor-3 | INFO | query_actor.py:230 | [experiment_exploration:QueryProcessingActor-3] Created independent FAISS vector store for this actor
2026-05-01 22:05:48 | QueryProcessingActor-3 | INFO | query_actor.py:260 | [experiment_exploration:QueryProcessingActor-3] Recreated retriever with search_type=mmr
2026-05-01 22:05:48 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-01 22:05:50 | QueryProcessingActor-3 | INFO | query_actor.py:277 | [experiment_exploration:QueryProcessingActor-3] Recreated RAG spec with retrieval mode
2026-05-01 22:12:57 | Controller | INFO | controller.py:1299 | [experiment_exploration:Controller] Pipeline 1 completed shard 0 (1 batches, 438.36s)
2026-05-01 22:12:57 | Controller | INFO | controller.py:1422 | [experiment_exploration:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 1 (1 batches)
2026-05-01 22:12:57 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [experiment_exploration:QueryProcessingActor-0] Reusing existing inference engine (config hash: bd74b5a8)
2026-05-01 22:12:57 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-05-01 22:12:59 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [experiment_exploration:QueryProcessingActor-0] Recreated embedding function: HuggingFaceEmbeddings
2026-05-01 22:12:59 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [experiment_exploration:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-01 22:12:59 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [experiment_exploration:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-01 22:12:59 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [experiment_exploration:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-01 22:12:59 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [experiment_exploration:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-01 22:12:59 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-01 22:13:00 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [experiment_exploration:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-01 22:15:25 | Controller | INFO | controller.py:1299 | [experiment_exploration:Controller] Pipeline 3 completed shard 0 (1 batches, 579.26s)
2026-05-01 22:15:25 | Controller | INFO | controller.py:1422 | [experiment_exploration:Controller] Scheduling pipeline 3 (Pipeline 3) on actor 2 for shard 1 (1 batches)
2026-05-01 22:15:25 | QueryProcessingActor-2 | INFO | query_actor.py:169 | [experiment_exploration:QueryProcessingActor-2] Reusing existing inference engine (config hash: bd74b5a8)
2026-05-01 22:15:26 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-05-01 22:15:27 | QueryProcessingActor-2 | INFO | query_actor.py:198 | [experiment_exploration:QueryProcessingActor-2] Recreated embedding function: HuggingFaceEmbeddings
2026-05-01 22:15:27 | QueryProcessingActor-2 | INFO | query_actor.py:211 | [experiment_exploration:QueryProcessingActor-2] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-01 22:15:27 | QueryProcessingActor-2 | INFO | query_actor.py:215 | [experiment_exploration:QueryProcessingActor-2] Deserializing FAISS index for this actor...
2026-05-01 22:15:27 | QueryProcessingActor-2 | INFO | query_actor.py:230 | [experiment_exploration:QueryProcessingActor-2] Created independent FAISS vector store for this actor
2026-05-01 22:15:27 | QueryProcessingActor-2 | INFO | query_actor.py:260 | [experiment_exploration:QueryProcessingActor-2] Recreated retriever with search_type=mmr
2026-05-01 22:15:28 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-01 22:15:29 | QueryProcessingActor-2 | INFO | query_actor.py:277 | [experiment_exploration:QueryProcessingActor-2] Recreated RAG spec with retrieval mode
2026-05-01 22:15:43 | Controller | INFO | controller.py:1299 | [experiment_exploration:Controller] Pipeline 2 completed shard 0 (1 batches, 599.91s)
2026-05-01 22:15:43 | Controller | INFO | controller.py:1422 | [experiment_exploration:Controller] Scheduling pipeline 2 (Pipeline 2) on actor 1 for shard 1 (1 batches)
2026-05-01 22:15:43 | QueryProcessingActor-1 | INFO | query_actor.py:169 | [experiment_exploration:QueryProcessingActor-1] Reusing existing inference engine (config hash: bd74b5a8)
2026-05-01 22:15:43 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-05-01 22:15:44 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [experiment_exploration:QueryProcessingActor-1] Recreated embedding function: HuggingFaceEmbeddings
2026-05-01 22:15:44 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [experiment_exploration:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-01 22:15:44 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [experiment_exploration:QueryProcessingActor-1] Deserializing FAISS index for this actor...
