2026-05-07 03:20:46 | DocProcessingActor | INFO | doc_actor.py:59 | [experiment_hybrid_golden_pair_2:DocProcessingActor] DocProcessingActor initialized
2026-05-07 03:20:48 | DocProcessingActor | INFO | doc_actor.py:96 | [experiment_hybrid_golden_pair_2:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-07 03:20:48 | DocProcessingActor | INFO | doc_actor.py:107 | [experiment_hybrid_golden_pair_2:DocProcessingActor] Building document index...
2026-05-07 03:20:51 | DocProcessingActor | INFO | doc_actor.py:109 | [experiment_hybrid_golden_pair_2:DocProcessingActor] Document index built successfully
2026-05-07 03:20:51 | DocProcessingActor | INFO | doc_actor.py:134 | [experiment_hybrid_golden_pair_2:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-07 03:20:51 | DocProcessingActor | INFO | doc_actor.py:144 | [experiment_hybrid_golden_pair_2:DocProcessingActor] FAISS index serialized: 606720 bytes
2026-05-07 03:20:51 | DocProcessingActor | INFO | doc_actor.py:189 | [experiment_hybrid_golden_pair_2:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-07 03:21:21 | QueryProcessingActor-0 | INFO | query_actor.py:165 | [experiment_hybrid_golden_pair_2:QueryProcessingActor-0] Initializing new inference engine (config hash: bb1f6a05)
2026-05-07 03:21:21 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [experiment_hybrid_golden_pair_2:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-07 03:21:21 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [experiment_hybrid_golden_pair_2:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 03:21:21 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [experiment_hybrid_golden_pair_2:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-07 03:21:21 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [experiment_hybrid_golden_pair_2:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-07 03:21:21 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [experiment_hybrid_golden_pair_2:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-07 03:21:21 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [experiment_hybrid_golden_pair_2:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-07 03:30:58 | ExperimentUtils | INFO | experiment_utils.py:180 | [experiment_hybrid_golden_pair_2:ExperimentUtils] Reset experiment states - marked ongoing pipelines, contexts, and tasks as failed
2026-05-07 03:30:58 | ExperimentUtils | INFO | experiment_utils.py:188 | [experiment_hybrid_golden_pair_2:ExperimentUtils] Experiment marked as cancelled. Ongoing pipelines, contexts, and tasks have been marked as failed.
2026-05-07 03:30:58 | ExperimentUtils | INFO | experiment_utils.py:154 | [experiment_hybrid_golden_pair_2:ExperimentUtils] Experiment experiment_hybrid_golden_pair_2 ended
2026-05-07 03:30:58 | Experiment | INFO | experiment.py:165 | [experiment_hybrid_golden_pair_3:Experiment] The previously running experiment experiment_hybrid_golden_pair_2 was forcibly ended. Created a new experiment 'experiment_hybrid_golden_pair_3' with Experiment ID: 53 at /home/ostran/rapidfireai/rapidfire_experiments/experiment_hybrid_golden_pair_3
2026-05-07 03:31:21 | Experiment | INFO | metric_rfmetric_manager.py:55 | [experiment_hybrid_golden_pair_3:Experiment] Initialized MLflowMetricLogger: rf_mlflow
2026-05-07 03:31:21 | Experiment | INFO | metric_rfmetric_manager.py:119 | [experiment_hybrid_golden_pair_3:Experiment] Creating MLflow experiment: experiment_hybrid_golden_pair_3
