2026-05-01 10:56:53 | Experiment | INFO | experiment.py:165 | [exp1-sourcedocs-full-evaluation3_10:Experiment] An experiment with the same name already exists. Created a new experiment 'exp1-sourcedocs-full-evaluation3_10' with Experiment ID: 18 at /home/ostran/rapidfireai/rapidfire_experiments/exp1-sourcedocs-full-evaluation3_10
2026-05-01 10:57:11 | Experiment | INFO | metric_rfmetric_manager.py:55 | [exp1-sourcedocs-full-evaluation3_10:Experiment] Initialized MLflowMetricLogger: rf_mlflow
2026-05-01 10:57:11 | Experiment | INFO | metric_rfmetric_manager.py:119 | [exp1-sourcedocs-full-evaluation3_10:Experiment] Creating MLflow experiment: exp1-sourcedocs-full-evaluation3_10
2026-05-01 10:57:11 | Experiment | INFO | experiment.py:210 | [exp1-sourcedocs-full-evaluation3_10:Experiment] Initialized MetricLogger experiment: 16
2026-05-01 10:57:11 | Experiment | INFO | experiment.py:226 | [exp1-sourcedocs-full-evaluation3_10:Experiment] Using existing dispatcher/api server at 127.0.0.1:8851.
2026-05-01 10:57:13 | Experiment | WARNING | experiment.py:381 | [exp1-sourcedocs-full-evaluation3_10:Experiment] No GPUs available. Be sure to use external APIs for inference.
2026-05-01 10:57:13 | Experiment | INFO | experiment.py:383 | [exp1-sourcedocs-full-evaluation3_10:Experiment] Running multi-config experiment with 4 shard(s), (0.0 GPUs per actor, 8.0 CPUs per actor, 4 actors)
2026-05-01 10:57:13 | Experiment | INFO | experiment.py:392 | [exp1-sourcedocs-full-evaluation3_10:Experiment] Reset states of existing pipelines/contexts/tasks (marked as failed)
2026-05-01 10:57:14 | Controller | INFO | controller.py:895 | [exp1-sourcedocs-full-evaluation3_10:Controller] Dataset sharded into 4 shard(s). Shard sizes: [12, 11, 11, 11]
2026-05-01 10:57:14 | Controller | INFO | controller.py:900 | [exp1-sourcedocs-full-evaluation3_10:Controller] Received 12 pipeline configuration(s)
2026-05-01 10:57:14 | Controller | INFO | controller.py:309 | [exp1-sourcedocs-full-evaluation3_10:Controller] Found 2 unique RAG context(s)
2026-05-01 10:57:14 | Controller | INFO | controller.py:320 | [exp1-sourcedocs-full-evaluation3_10:Controller] Will build new context c0aaab93...
2026-05-01 10:57:14 | Controller | INFO | controller.py:320 | [exp1-sourcedocs-full-evaluation3_10:Controller] Will build new context 9f7161b8...
