2026-05-07 12:07:47 | Experiment | INFO | metric_rfmetric_manager.py:141 | [otran_aliang_final_configs:Experiment] Created MLflow run: 312e478e77a344259c08efda3102eca1, 7
2026-05-07 12:07:47 | Experiment | INFO | metric_rfmetric_manager.py:141 | [otran_aliang_final_configs:Experiment] Created MLflow run: 7ed94ebf9b0a4010b3602d5c553df8f7, 8
2026-05-07 12:07:47 | Controller | INFO | controller.py:931 | [otran_aliang_final_configs:Controller] Initialized scheduler with 8 pipelines, 4 actors, 4 shards
2026-05-07 12:07:47 | Controller | INFO | controller.py:1118 | [otran_aliang_final_configs:Controller] Created experiment-wide rate limiter actor for 8 OpenAI pipeline(s) with per-model limits (api-mistral-small-3.2-2506: 120 RPM, 1000000 TPM)
2026-05-07 12:07:47 | Controller | INFO | controller.py:1124 | [otran_aliang_final_configs:Controller] Starting multi-pipeline inference scheduling...
2026-05-07 12:07:47 | Controller | INFO | controller.py:1422 | [otran_aliang_final_configs:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 0 (1 batches)
2026-05-07 12:08:10 | QueryProcessingActor-0 | INFO | query_actor.py:165 | [otran_aliang_final_configs:QueryProcessingActor-0] Initializing new inference engine (config hash: f2fafd19)
2026-05-07 12:08:10 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [otran_aliang_final_configs:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-07 12:08:10 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [otran_aliang_final_configs:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 12:08:10 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [otran_aliang_final_configs:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-07 12:08:10 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [otran_aliang_final_configs:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-07 12:08:10 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [otran_aliang_final_configs:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-07 12:08:11 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 12:08:13 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [otran_aliang_final_configs:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-07 12:08:13 | Controller | INFO | controller.py:1422 | [otran_aliang_final_configs:Controller] Scheduling pipeline 2 (Pipeline 2) on actor 1 for shard 0 (1 batches)
2026-05-07 12:08:13 | QueryProcessingActor-1 | INFO | query_actor.py:165 | [otran_aliang_final_configs:QueryProcessingActor-1] Initializing new inference engine (config hash: f2fafd19)
2026-05-07 12:08:13 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [otran_aliang_final_configs:QueryProcessingActor-1] Recreated embedding function: OpenAIEmbeddings
2026-05-07 12:08:13 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [otran_aliang_final_configs:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 12:08:13 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [otran_aliang_final_configs:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-05-07 12:08:13 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [otran_aliang_final_configs:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-05-07 12:08:13 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [otran_aliang_final_configs:QueryProcessingActor-1] Recreated retriever with search_type=similarity
