2026-05-06 19:56:28 | Controller | INFO | controller.py:1422 | [experiment_hybrid_9:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 1 (1 batches)
2026-05-06 19:56:28 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [experiment_hybrid_9:QueryProcessingActor-0] Reusing existing inference engine (config hash: e93acbd4)
2026-05-06 19:56:29 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-05-06 19:56:30 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [experiment_hybrid_9:QueryProcessingActor-0] Recreated embedding function: HuggingFaceEmbeddings
2026-05-06 19:56:30 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [experiment_hybrid_9:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-06 19:56:30 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [experiment_hybrid_9:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-06 19:56:30 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [experiment_hybrid_9:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-06 19:56:30 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [experiment_hybrid_9:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-06 19:56:30 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [experiment_hybrid_9:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-06 21:11:19 | ExperimentUtils | INFO | experiment_utils.py:180 | [experiment_hybrid_9:ExperimentUtils] Reset experiment states - marked ongoing pipelines, contexts, and tasks as failed
2026-05-06 21:11:19 | ExperimentUtils | INFO | experiment_utils.py:188 | [experiment_hybrid_9:ExperimentUtils] Experiment marked as cancelled. Ongoing pipelines, contexts, and tasks have been marked as failed.
2026-05-06 21:11:19 | ExperimentUtils | INFO | experiment_utils.py:154 | [experiment_hybrid_9:ExperimentUtils] Experiment experiment_hybrid_9 ended
2026-05-06 21:11:19 | Experiment | INFO | experiment.py:165 | [experiment_hybrid_10:Experiment] The previously running experiment experiment_hybrid_9 was forcibly ended. Created a new experiment 'experiment_hybrid_10' with Experiment ID: 42 at /home/ostran/rapidfireai/rapidfire_experiments/experiment_hybrid_10
2026-05-06 21:11:37 | Experiment | INFO | metric_rfmetric_manager.py:55 | [experiment_hybrid_10:Experiment] Initialized MLflowMetricLogger: rf_mlflow
2026-05-06 21:11:37 | Experiment | INFO | metric_rfmetric_manager.py:119 | [experiment_hybrid_10:Experiment] Creating MLflow experiment: experiment_hybrid_10
2026-05-06 21:11:37 | Experiment | INFO | experiment.py:210 | [experiment_hybrid_10:Experiment] Initialized MetricLogger experiment: 39
2026-05-06 21:11:37 | Experiment | INFO | experiment.py:226 | [experiment_hybrid_10:Experiment] Using existing dispatcher/api server at 127.0.0.1:8851.
2026-05-06 21:11:37 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-06 21:11:40 | Experiment | WARNING | experiment.py:381 | [experiment_hybrid_10:Experiment] No GPUs available. Be sure to use external APIs for inference.
2026-05-06 21:11:40 | Experiment | INFO | experiment.py:383 | [experiment_hybrid_10:Experiment] Running multi-config experiment with 4 shard(s), (0.0 GPUs per actor, 8.0 CPUs per actor, 4 actors)
2026-05-06 21:11:40 | Experiment | INFO | experiment.py:392 | [experiment_hybrid_10:Experiment] Reset states of existing pipelines/contexts/tasks (marked as failed)
2026-05-06 21:11:40 | Controller | INFO | controller.py:895 | [experiment_hybrid_10:Controller] Dataset sharded into 4 shard(s). Shard sizes: [12, 11, 11, 11]
2026-05-06 21:11:40 | Controller | INFO | controller.py:900 | [experiment_hybrid_10:Controller] Received 1 pipeline configuration(s)
2026-05-06 21:11:40 | Controller | INFO | controller.py:309 | [experiment_hybrid_10:Controller] Found 1 unique RAG context(s)
2026-05-06 21:11:40 | Controller | INFO | controller.py:320 | [experiment_hybrid_10:Controller] Will build new context a4b1040b...
