2026-05-05 17:38:06 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [temp0.1_2:QueryProcessingActor-1] Recreated retriever with search_type=similarity
2026-05-05 17:38:07 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-05 17:38:09 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [temp0.1_2:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-05-05 17:38:09 | QueryProcessingActor-2 | INFO | query_actor.py:169 | [temp0.1_2:QueryProcessingActor-2] Reusing existing inference engine (config hash: ef7a31ee)
2026-05-05 17:38:09 | QueryProcessingActor-2 | INFO | query_actor.py:198 | [temp0.1_2:QueryProcessingActor-2] Recreated embedding function: OpenAIEmbeddings
2026-05-05 17:38:09 | QueryProcessingActor-2 | INFO | query_actor.py:211 | [temp0.1_2:QueryProcessingActor-2] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-05 17:38:09 | QueryProcessingActor-2 | INFO | query_actor.py:215 | [temp0.1_2:QueryProcessingActor-2] Deserializing FAISS index for this actor...
2026-05-05 17:38:09 | QueryProcessingActor-2 | INFO | query_actor.py:230 | [temp0.1_2:QueryProcessingActor-2] Created independent FAISS vector store for this actor
2026-05-05 17:38:09 | QueryProcessingActor-2 | INFO | query_actor.py:260 | [temp0.1_2:QueryProcessingActor-2] Recreated retriever with search_type=similarity
2026-05-05 17:38:09 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-05 17:38:11 | QueryProcessingActor-2 | INFO | query_actor.py:277 | [temp0.1_2:QueryProcessingActor-2] Recreated RAG spec with retrieval mode
2026-05-05 17:38:23 | QueryProcessingActor-3 | INFO | query_actor.py:169 | [temp0.1_2:QueryProcessingActor-3] Reusing existing inference engine (config hash: ef7a31ee)
2026-05-05 17:38:23 | QueryProcessingActor-3 | INFO | query_actor.py:198 | [temp0.1_2:QueryProcessingActor-3] Recreated embedding function: OpenAIEmbeddings
2026-05-05 17:38:23 | QueryProcessingActor-3 | INFO | query_actor.py:211 | [temp0.1_2:QueryProcessingActor-3] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-05 17:38:23 | QueryProcessingActor-3 | INFO | query_actor.py:215 | [temp0.1_2:QueryProcessingActor-3] Deserializing FAISS index for this actor...
2026-05-05 17:38:23 | QueryProcessingActor-3 | INFO | query_actor.py:230 | [temp0.1_2:QueryProcessingActor-3] Created independent FAISS vector store for this actor
2026-05-05 17:38:23 | QueryProcessingActor-3 | INFO | query_actor.py:260 | [temp0.1_2:QueryProcessingActor-3] Recreated retriever with search_type=similarity
2026-05-05 17:38:23 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-05 17:38:26 | QueryProcessingActor-3 | INFO | query_actor.py:277 | [temp0.1_2:QueryProcessingActor-3] Recreated RAG spec with retrieval mode
2026-05-05 17:40:42 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [temp0.1_2:QueryProcessingActor-0] Reusing existing inference engine (config hash: ef7a31ee)
2026-05-05 17:40:42 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [temp0.1_2:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-05 17:40:42 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [temp0.1_2:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-05 17:40:42 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [temp0.1_2:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-05 17:40:42 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [temp0.1_2:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-05 17:40:42 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [temp0.1_2:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-05 17:40:42 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
