2026-05-06 22:13:30 | Experiment | INFO | experiment.py:165 | [experiment_hybrid_11:Experiment] Experiment experiment_hybrid_11 created with Experiment ID: 43 at /home/ostran/rapidfireai/rapidfire_experiments/experiment_hybrid_11
2026-05-06 22:13:47 | Experiment | INFO | metric_rfmetric_manager.py:55 | [experiment_hybrid_11:Experiment] Initialized MLflowMetricLogger: rf_mlflow
2026-05-06 22:13:47 | Experiment | INFO | metric_rfmetric_manager.py:119 | [experiment_hybrid_11:Experiment] Creating MLflow experiment: experiment_hybrid_11
2026-05-06 22:13:47 | Experiment | INFO | experiment.py:210 | [experiment_hybrid_11:Experiment] Initialized MetricLogger experiment: 40
2026-05-06 22:13:47 | Experiment | INFO | experiment.py:226 | [experiment_hybrid_11:Experiment] Using existing dispatcher/api server at 127.0.0.1:8851.
2026-05-06 22:13:48 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-06 22:13:52 | Experiment | WARNING | experiment.py:381 | [experiment_hybrid_11:Experiment] No GPUs available. Be sure to use external APIs for inference.
2026-05-06 22:13:52 | Experiment | INFO | experiment.py:383 | [experiment_hybrid_11:Experiment] Running multi-config experiment with 4 shard(s), (0.0 GPUs per actor, 8.0 CPUs per actor, 4 actors)
2026-05-06 22:13:52 | Experiment | INFO | experiment.py:392 | [experiment_hybrid_11:Experiment] Reset states of existing pipelines/contexts/tasks (marked as failed)
2026-05-06 22:13:53 | Controller | INFO | controller.py:895 | [experiment_hybrid_11:Controller] Dataset sharded into 4 shard(s). Shard sizes: [12, 11, 11, 11]
2026-05-06 22:13:53 | Controller | INFO | controller.py:900 | [experiment_hybrid_11:Controller] Received 1 pipeline configuration(s)
2026-05-06 22:13:53 | Controller | INFO | controller.py:309 | [experiment_hybrid_11:Controller] Found 1 unique RAG context(s)
2026-05-06 22:13:53 | Controller | INFO | controller.py:320 | [experiment_hybrid_11:Controller] Will build new context 94935095...
2026-05-06 22:13:53 | Controller | INFO | controller.py:346 | [experiment_hybrid_11:Controller] Building 1 context(s) in parallel...
2026-05-06 22:13:53 | Controller | INFO | controller.py:373 | [experiment_hybrid_11:Controller] Creating 1 DocProcessingActor(s) for parallel processing
2026-05-06 22:13:54 | Controller | INFO | controller.py:461 | [experiment_hybrid_11:Controller] Submitted 1 build task(s) in parallel
2026-05-06 22:14:15 | DocProcessingActor | INFO | doc_actor.py:59 | [experiment_hybrid_11:DocProcessingActor] DocProcessingActor initialized
2026-05-06 22:14:17 | DocProcessingActor | INFO | doc_actor.py:96 | [experiment_hybrid_11:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-06 22:14:17 | DocProcessingActor | INFO | doc_actor.py:107 | [experiment_hybrid_11:DocProcessingActor] Building document index...
2026-05-06 22:14:19 | DocProcessingActor | INFO | doc_actor.py:109 | [experiment_hybrid_11:DocProcessingActor] Document index built successfully
2026-05-06 22:14:19 | DocProcessingActor | INFO | doc_actor.py:134 | [experiment_hybrid_11:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-06 22:14:19 | DocProcessingActor | INFO | doc_actor.py:144 | [experiment_hybrid_11:DocProcessingActor] FAISS index serialized: 606720 bytes
2026-05-06 22:14:19 | DocProcessingActor | INFO | doc_actor.py:189 | [experiment_hybrid_11:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-06 22:14:19 | Controller | INFO | controller.py:482 | [experiment_hybrid_11:Controller] Built context 1 (94935095...) successfully in 26.40s
2026-05-06 22:14:19 | Controller | INFO | controller.py:523 | [experiment_hybrid_11:Controller] Completed parallel context building for 1 context(s)
2026-05-06 22:14:19 | Controller | INFO | controller.py:920 | [experiment_hybrid_11:Controller] Created 4 query processing actors (generic pool)
2026-05-06 22:14:19 | Experiment | INFO | metric_rfmetric_manager.py:141 | [experiment_hybrid_11:Experiment] Created MLflow run: 35af76c49b99488d83271b56109b689a, 1
2026-05-06 22:14:19 | Controller | INFO | controller.py:931 | [experiment_hybrid_11:Controller] Initialized scheduler with 1 pipelines, 4 actors, 4 shards
2026-05-06 22:14:19 | Controller | INFO | controller.py:1118 | [experiment_hybrid_11:Controller] Created experiment-wide rate limiter actor for 1 OpenAI pipeline(s) with per-model limits (api-mistral-small-3.2-2506: 120 RPM, 1000000 TPM)
2026-05-06 22:14:19 | Controller | INFO | controller.py:1124 | [experiment_hybrid_11:Controller] Starting multi-pipeline inference scheduling...
2026-05-06 22:14:19 | Controller | INFO | controller.py:1422 | [experiment_hybrid_11:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 0 (1 batches)
2026-05-06 22:14:42 | QueryProcessingActor-0 | INFO | query_actor.py:165 | [experiment_hybrid_11:QueryProcessingActor-0] Initializing new inference engine (config hash: db7addc6)
2026-05-06 22:14:42 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [experiment_hybrid_11:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-06 22:14:42 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [experiment_hybrid_11:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-06 22:14:42 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [experiment_hybrid_11:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-06 22:14:42 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [experiment_hybrid_11:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-06 22:14:42 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [experiment_hybrid_11:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-06 22:14:42 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [experiment_hybrid_11:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-06 22:16:21 | Controller | INFO | controller.py:1299 | [experiment_hybrid_11:Controller] Pipeline 1 completed shard 0 (1 batches, 98.76s)
2026-05-06 22:16:21 | Controller | INFO | controller.py:1422 | [experiment_hybrid_11:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 1 (1 batches)
2026-05-06 22:16:21 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [experiment_hybrid_11:QueryProcessingActor-0] Reusing existing inference engine (config hash: db7addc6)
2026-05-06 22:16:21 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [experiment_hybrid_11:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-06 22:16:21 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [experiment_hybrid_11:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-06 22:16:21 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [experiment_hybrid_11:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-06 22:16:21 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [experiment_hybrid_11:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-06 22:16:21 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [experiment_hybrid_11:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-06 22:16:21 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [experiment_hybrid_11:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-06 22:17:41 | Controller | INFO | controller.py:1299 | [experiment_hybrid_11:Controller] Pipeline 1 completed shard 1 (1 batches, 79.71s)
2026-05-06 22:17:41 | Controller | INFO | controller.py:1422 | [experiment_hybrid_11:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 2 (1 batches)
2026-05-06 22:17:41 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [experiment_hybrid_11:QueryProcessingActor-0] Reusing existing inference engine (config hash: db7addc6)
2026-05-06 22:17:41 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [experiment_hybrid_11:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-06 22:17:41 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [experiment_hybrid_11:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-06 22:17:41 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [experiment_hybrid_11:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-06 22:17:41 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [experiment_hybrid_11:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-06 22:17:41 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [experiment_hybrid_11:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-06 22:17:41 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [experiment_hybrid_11:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-06 22:18:57 | Controller | INFO | controller.py:1299 | [experiment_hybrid_11:Controller] Pipeline 1 completed shard 2 (1 batches, 75.19s)
2026-05-06 22:18:57 | Controller | INFO | controller.py:1422 | [experiment_hybrid_11:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 3 (1 batches)
2026-05-06 22:18:57 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [experiment_hybrid_11:QueryProcessingActor-0] Reusing existing inference engine (config hash: db7addc6)
2026-05-06 22:18:57 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [experiment_hybrid_11:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-06 22:18:57 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [experiment_hybrid_11:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-06 22:18:57 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [experiment_hybrid_11:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-06 22:18:57 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [experiment_hybrid_11:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-06 22:18:57 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [experiment_hybrid_11:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-06 22:18:57 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [experiment_hybrid_11:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-06 22:20:20 | Controller | INFO | controller.py:1192 | [experiment_hybrid_11:Controller] Pipeline 1 completed all 4 shards
2026-05-06 22:20:20 | Controller | INFO | controller.py:1299 | [experiment_hybrid_11:Controller] Pipeline 1 completed shard 3 (1 batches, 82.56s)
2026-05-06 22:20:20 | Controller | INFO | controller.py:1386 | [experiment_hybrid_11:Controller] All pipelines completed all shards!
2026-05-06 22:20:20 | Controller | INFO | controller.py:695 | [experiment_hybrid_11:Controller] Computing final metrics for all pipelines...
2026-05-06 22:20:20 | Experiment | INFO | metric_rfmetric_manager.py:190 | [experiment_hybrid_11:Experiment] Ending run: 35af76c49b99488d83271b56109b689a, 1 in rf_mlflow
2026-05-06 22:20:20 | Experiment | WARNING | metric_mlflow_manager.py:101 | [experiment_hybrid_11:Experiment] Run 35af76c49b99488d83271b56109b689a is not the active run, no local context to clear
2026-05-06 22:20:20 | Controller | INFO | controller.py:853 | [experiment_hybrid_11:Controller] Pipeline 1 (Pipeline 1) completed successfully
2026-05-06 22:21:55 | ExperimentUtils | INFO | experiment_utils.py:180 | [experiment_hybrid_11:ExperimentUtils] Reset experiment states - marked ongoing pipelines, contexts, and tasks as failed
2026-05-06 22:21:55 | ExperimentUtils | INFO | experiment_utils.py:188 | [experiment_hybrid_11:ExperimentUtils] Experiment marked as cancelled. Ongoing pipelines, contexts, and tasks have been marked as failed.
2026-05-06 22:21:55 | ExperimentUtils | INFO | experiment_utils.py:154 | [experiment_hybrid_11:ExperimentUtils] Experiment experiment_hybrid_11 ended
2026-05-06 22:21:57 | Experiment | INFO | experiment.py:574 | [experiment_hybrid_11:Experiment] All actors shut down
2026-05-06 22:21:57 | Experiment | INFO | experiment.py:575 | [experiment_hybrid_11:Experiment] Dispatcher will automatically shut down (daemon thread)
