2026-05-02 09:25:23 | Experiment | INFO | metric_rfmetric_manager.py:55 | [experiment_exploration_chunk_grid_3:Experiment] Initialized MLflowMetricLogger: rf_mlflow
2026-05-02 09:25:23 | Experiment | INFO | metric_rfmetric_manager.py:119 | [experiment_exploration_chunk_grid_3:Experiment] Creating MLflow experiment: experiment_exploration_chunk_grid_3
2026-05-02 09:25:23 | Experiment | INFO | experiment.py:210 | [experiment_exploration_chunk_grid_3:Experiment] Initialized MetricLogger experiment: 29
2026-05-02 09:25:23 | Experiment | INFO | experiment.py:226 | [experiment_exploration_chunk_grid_3:Experiment] Using existing dispatcher/api server at 127.0.0.1:8851.
2026-05-02 09:25:25 | Experiment | WARNING | experiment.py:381 | [experiment_exploration_chunk_grid_3:Experiment] No GPUs available. Be sure to use external APIs for inference.
2026-05-02 09:25:25 | Experiment | INFO | experiment.py:383 | [experiment_exploration_chunk_grid_3:Experiment] Running multi-config experiment with 4 shard(s), (0.0 GPUs per actor, 8.0 CPUs per actor, 4 actors)
2026-05-02 09:25:25 | Experiment | INFO | experiment.py:392 | [experiment_exploration_chunk_grid_3:Experiment] Reset states of existing pipelines/contexts/tasks (marked as failed)
2026-05-02 09:25:26 | Controller | INFO | controller.py:895 | [experiment_exploration_chunk_grid_3:Controller] Dataset sharded into 4 shard(s). Shard sizes: [12, 11, 11, 11]
2026-05-02 09:25:26 | Controller | INFO | controller.py:900 | [experiment_exploration_chunk_grid_3:Controller] Received 36 pipeline configuration(s)
2026-05-02 09:25:26 | Controller | INFO | controller.py:309 | [experiment_exploration_chunk_grid_3:Controller] Found 9 unique RAG context(s)
2026-05-02 09:25:26 | Controller | INFO | controller.py:320 | [experiment_exploration_chunk_grid_3:Controller] Will build new context 486eab2a...
2026-05-02 09:25:26 | Controller | INFO | controller.py:320 | [experiment_exploration_chunk_grid_3:Controller] Will build new context 86c8c5f6...
2026-05-02 09:25:26 | Controller | INFO | controller.py:320 | [experiment_exploration_chunk_grid_3:Controller] Will build new context 962bf3aa...
2026-05-02 09:25:26 | Controller | INFO | controller.py:320 | [experiment_exploration_chunk_grid_3:Controller] Will build new context 7d89e288...
2026-05-02 09:25:26 | Controller | INFO | controller.py:320 | [experiment_exploration_chunk_grid_3:Controller] Will build new context cc25698d...
2026-05-02 09:25:26 | Controller | INFO | controller.py:320 | [experiment_exploration_chunk_grid_3:Controller] Will build new context 0ff505f1...
2026-05-02 09:25:26 | Controller | INFO | controller.py:320 | [experiment_exploration_chunk_grid_3:Controller] Will build new context a40060dd...
2026-05-02 09:25:26 | Controller | INFO | controller.py:320 | [experiment_exploration_chunk_grid_3:Controller] Will build new context afaed9e6...
2026-05-02 09:25:26 | Controller | INFO | controller.py:320 | [experiment_exploration_chunk_grid_3:Controller] Will build new context ed27a0b2...
2026-05-02 09:25:26 | Controller | INFO | controller.py:346 | [experiment_exploration_chunk_grid_3:Controller] Building 9 context(s) in parallel...
2026-05-02 09:25:26 | Controller | INFO | controller.py:373 | [experiment_exploration_chunk_grid_3:Controller] Creating 9 DocProcessingActor(s) for parallel processing
2026-05-02 09:25:27 | matplotlib.font_manager | INFO | font_manager.py:1639 | generated new fontManager
2026-05-02 09:25:28 | Controller | INFO | controller.py:461 | [experiment_exploration_chunk_grid_3:Controller] Submitted 9 build task(s) in parallel
