2026-05-03 19:54:21 | QueryProcessingActor-1 | INFO | query_actor.py:169 | [16_overlap:QueryProcessingActor-1] Reusing existing inference engine (config hash: e65f5493)
2026-05-03 19:54:21 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [16_overlap:QueryProcessingActor-1] Recreated embedding function: OpenAIEmbeddings
2026-05-03 19:54:21 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [16_overlap:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-03 19:54:21 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [16_overlap:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-05-03 19:54:21 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [16_overlap:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-05-03 19:54:21 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [16_overlap:QueryProcessingActor-1] Recreated retriever with search_type=similarity
2026-05-03 19:54:21 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-03 19:54:23 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [16_overlap:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-05-03 19:56:26 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [16_overlap:QueryProcessingActor-0] Reusing existing inference engine (config hash: e65f5493)
2026-05-03 19:56:26 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [16_overlap:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-03 19:56:26 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [16_overlap:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-03 19:56:26 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [16_overlap:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-03 19:56:26 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [16_overlap:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-03 19:56:26 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [16_overlap:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-03 19:56:26 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-03 19:56:28 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [16_overlap:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-03 19:57:38 | QueryProcessingActor-1 | INFO | query_actor.py:169 | [16_overlap:QueryProcessingActor-1] Reusing existing inference engine (config hash: e65f5493)
2026-05-03 19:57:38 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [16_overlap:QueryProcessingActor-1] Recreated embedding function: OpenAIEmbeddings
2026-05-03 19:57:38 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [16_overlap:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-03 19:57:38 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [16_overlap:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-05-03 19:57:38 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [16_overlap:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-05-03 19:57:38 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [16_overlap:QueryProcessingActor-1] Recreated retriever with search_type=similarity
2026-05-03 19:57:38 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-03 19:57:40 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [16_overlap:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-05-03 20:00:08 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [16_overlap:QueryProcessingActor-0] Reusing existing inference engine (config hash: e65f5493)
