2026-05-07 11:03:05 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [experiment_hybrid_golden_pair_10:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 11:03:05 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [experiment_hybrid_golden_pair_10:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-07 11:03:05 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [experiment_hybrid_golden_pair_10:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-07 11:03:05 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [experiment_hybrid_golden_pair_10:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-07 11:03:05 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [experiment_hybrid_golden_pair_10:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-07 11:09:24 | Controller | INFO | controller.py:1299 | [experiment_hybrid_golden_pair_10:Controller] Pipeline 1 completed shard 1 (1 batches, 377.54s)
2026-05-07 11:09:24 | Controller | INFO | controller.py:1422 | [experiment_hybrid_golden_pair_10:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 2 (1 batches)
2026-05-07 11:09:24 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [experiment_hybrid_golden_pair_10:QueryProcessingActor-0] Reusing existing inference engine (config hash: 6ed0c3b1)
2026-05-07 11:09:24 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [experiment_hybrid_golden_pair_10:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-07 11:09:24 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [experiment_hybrid_golden_pair_10:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 11:09:24 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [experiment_hybrid_golden_pair_10:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-07 11:09:24 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [experiment_hybrid_golden_pair_10:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-07 11:09:24 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [experiment_hybrid_golden_pair_10:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-07 11:09:24 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [experiment_hybrid_golden_pair_10:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-07 11:16:32 | Controller | INFO | controller.py:1299 | [experiment_hybrid_golden_pair_10:Controller] Pipeline 1 completed shard 2 (1 batches, 425.63s)
2026-05-07 11:16:32 | Controller | INFO | controller.py:1422 | [experiment_hybrid_golden_pair_10:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 3 (1 batches)
2026-05-07 11:16:32 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [experiment_hybrid_golden_pair_10:QueryProcessingActor-0] Reusing existing inference engine (config hash: 6ed0c3b1)
2026-05-07 11:16:32 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [experiment_hybrid_golden_pair_10:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-07 11:16:32 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [experiment_hybrid_golden_pair_10:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 11:16:32 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [experiment_hybrid_golden_pair_10:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-07 11:16:32 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [experiment_hybrid_golden_pair_10:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-07 11:16:32 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [experiment_hybrid_golden_pair_10:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-07 11:16:32 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [experiment_hybrid_golden_pair_10:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-07 11:23:07 | Controller | INFO | controller.py:1192 | [experiment_hybrid_golden_pair_10:Controller] Pipeline 1 completed all 4 shards
2026-05-07 11:23:07 | Controller | INFO | controller.py:1299 | [experiment_hybrid_golden_pair_10:Controller] Pipeline 1 completed shard 3 (1 batches, 391.62s)
2026-05-07 11:23:07 | Controller | INFO | controller.py:1386 | [experiment_hybrid_golden_pair_10:Controller] All pipelines completed all shards!
2026-05-07 11:23:07 | Controller | INFO | controller.py:695 | [experiment_hybrid_golden_pair_10:Controller] Computing final metrics for all pipelines...
2026-05-07 11:23:07 | Experiment | INFO | metric_rfmetric_manager.py:190 | [experiment_hybrid_golden_pair_10:Experiment] Ending run: 4167f3aa038645e995ffb551eee9aec1, 1 in rf_mlflow
2026-05-07 11:23:07 | Experiment | WARNING | metric_mlflow_manager.py:101 | [experiment_hybrid_golden_pair_10:Experiment] Run 4167f3aa038645e995ffb551eee9aec1 is not the active run, no local context to clear
2026-05-07 11:23:07 | Controller | INFO | controller.py:853 | [experiment_hybrid_golden_pair_10:Controller] Pipeline 1 (Pipeline 1) completed successfully
2026-05-07 11:23:08 | ExperimentUtils | INFO | experiment_utils.py:180 | [experiment_hybrid_golden_pair_10:ExperimentUtils] Reset experiment states - marked ongoing pipelines, contexts, and tasks as failed
2026-05-07 11:23:08 | ExperimentUtils | INFO | experiment_utils.py:188 | [experiment_hybrid_golden_pair_10:ExperimentUtils] Experiment marked as cancelled. Ongoing pipelines, contexts, and tasks have been marked as failed.
2026-05-07 11:23:08 | ExperimentUtils | INFO | experiment_utils.py:154 | [experiment_hybrid_golden_pair_10:ExperimentUtils] Experiment experiment_hybrid_golden_pair_10 ended
2026-05-07 11:23:11 | Experiment | INFO | experiment.py:574 | [experiment_hybrid_golden_pair_10:Experiment] All actors shut down
2026-05-07 11:23:11 | Experiment | INFO | experiment.py:575 | [experiment_hybrid_golden_pair_10:Experiment] Dispatcher will automatically shut down (daemon thread)
2026-05-07 12:09:13 | Experiment | INFO | experiment.py:165 | [experiment_hybrid_16:Experiment] An experiment with the same name already exists. Created a new experiment 'experiment_hybrid_16' with Experiment ID: 61 at /home/ostran/rapidfireai/rapidfire_experiments/experiment_hybrid_16
2026-05-07 12:09:30 | Experiment | INFO | metric_rfmetric_manager.py:55 | [experiment_hybrid_16:Experiment] Initialized MLflowMetricLogger: rf_mlflow
2026-05-07 12:09:30 | Experiment | INFO | metric_rfmetric_manager.py:119 | [experiment_hybrid_16:Experiment] Creating MLflow experiment: experiment_hybrid_16
2026-05-07 12:09:30 | Experiment | INFO | experiment.py:210 | [experiment_hybrid_16:Experiment] Initialized MetricLogger experiment: 53
2026-05-07 12:09:30 | Experiment | INFO | experiment.py:226 | [experiment_hybrid_16:Experiment] Using existing dispatcher/api server at 127.0.0.1:8851.
2026-05-07 12:09:31 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 12:09:33 | Experiment | WARNING | experiment.py:381 | [experiment_hybrid_16:Experiment] No GPUs available. Be sure to use external APIs for inference.
2026-05-07 12:09:33 | Experiment | INFO | experiment.py:383 | [experiment_hybrid_16:Experiment] Running multi-config experiment with 4 shard(s), (0.0 GPUs per actor, 8.0 CPUs per actor, 4 actors)
2026-05-07 12:09:33 | Experiment | INFO | experiment.py:392 | [experiment_hybrid_16:Experiment] Reset states of existing pipelines/contexts/tasks (marked as failed)
2026-05-07 12:09:33 | Controller | INFO | controller.py:895 | [experiment_hybrid_16:Controller] Dataset sharded into 4 shard(s). Shard sizes: [12, 11, 11, 11]
2026-05-07 12:09:33 | Controller | INFO | controller.py:900 | [experiment_hybrid_16:Controller] Received 1 pipeline configuration(s)
2026-05-07 12:09:33 | Controller | INFO | controller.py:309 | [experiment_hybrid_16:Controller] Found 1 unique RAG context(s)
2026-05-07 12:09:33 | Controller | INFO | controller.py:320 | [experiment_hybrid_16:Controller] Will build new context 08b50633...
2026-05-07 12:09:33 | Controller | INFO | controller.py:346 | [experiment_hybrid_16:Controller] Building 1 context(s) in parallel...
2026-05-07 12:09:33 | Controller | INFO | controller.py:373 | [experiment_hybrid_16:Controller] Creating 1 DocProcessingActor(s) for parallel processing
2026-05-07 12:09:33 | Controller | INFO | controller.py:461 | [experiment_hybrid_16:Controller] Submitted 1 build task(s) in parallel
2026-05-07 12:09:59 | Controller | INFO | controller.py:482 | [experiment_hybrid_16:Controller] Built context 1 (08b50633...) successfully in 25.93s
2026-05-07 12:09:59 | Controller | INFO | controller.py:523 | [experiment_hybrid_16:Controller] Completed parallel context building for 1 context(s)
2026-05-07 12:09:59 | Controller | INFO | controller.py:920 | [experiment_hybrid_16:Controller] Created 4 query processing actors (generic pool)
2026-05-07 12:09:59 | Experiment | INFO | metric_rfmetric_manager.py:141 | [experiment_hybrid_16:Experiment] Created MLflow run: c4fad5f3ca48489da7663477456b9b4f, 1
2026-05-07 12:09:59 | Controller | INFO | controller.py:931 | [experiment_hybrid_16:Controller] Initialized scheduler with 1 pipelines, 4 actors, 4 shards
2026-05-07 12:09:59 | Controller | INFO | controller.py:1118 | [experiment_hybrid_16:Controller] Created experiment-wide rate limiter actor for 1 OpenAI pipeline(s) with per-model limits (api-mistral-small-3.2-2506: 120 RPM, 1000000 TPM)
2026-05-07 12:09:59 | Controller | INFO | controller.py:1124 | [experiment_hybrid_16:Controller] Starting multi-pipeline inference scheduling...
2026-05-07 12:09:59 | Controller | INFO | controller.py:1422 | [experiment_hybrid_16:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 0 (1 batches)
2026-05-07 12:23:38 | Controller | INFO | controller.py:1299 | [experiment_hybrid_16:Controller] Pipeline 1 completed shard 0 (1 batches, 791.41s)
2026-05-07 12:23:38 | Controller | INFO | controller.py:1422 | [experiment_hybrid_16:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 1 (1 batches)
