2026-05-07 17:07:11 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [goldentest:QueryProcessingActor-1] Recreated embedding function: OpenAIEmbeddings
2026-05-07 17:07:11 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [goldentest:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 17:07:11 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [goldentest:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-05-07 17:07:11 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [goldentest:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-05-07 17:07:11 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [goldentest:QueryProcessingActor-1] Recreated retriever with search_type=similarity
2026-05-07 17:07:11 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 17:07:14 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [goldentest:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-05-07 17:07:14 | Controller | INFO | controller.py:1422 | [goldentest:Controller] Scheduling pipeline 3 (Pipeline 3) on actor 2 for shard 0 (1 batches)
2026-05-07 17:07:14 | QueryProcessingActor-2 | INFO | query_actor.py:165 | [goldentest:QueryProcessingActor-2] Initializing new inference engine (config hash: adec4f70)
2026-05-07 17:07:14 | QueryProcessingActor-2 | INFO | query_actor.py:198 | [goldentest:QueryProcessingActor-2] Recreated embedding function: OpenAIEmbeddings
2026-05-07 17:07:14 | QueryProcessingActor-2 | INFO | query_actor.py:211 | [goldentest:QueryProcessingActor-2] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 17:07:14 | QueryProcessingActor-2 | INFO | query_actor.py:215 | [goldentest:QueryProcessingActor-2] Deserializing FAISS index for this actor...
2026-05-07 17:07:14 | QueryProcessingActor-2 | INFO | query_actor.py:230 | [goldentest:QueryProcessingActor-2] Created independent FAISS vector store for this actor
2026-05-07 17:07:14 | QueryProcessingActor-2 | INFO | query_actor.py:260 | [goldentest:QueryProcessingActor-2] Recreated retriever with search_type=similarity
2026-05-07 17:07:14 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
